number,first,last
43075,4,5
43075,4,5
43075,4,5
25000,2,0
25000,2,0
25000,2,0
7803,7,3
7803,7,3
7803,7,3
120,1,0
1176,1,6
2549,2,9
5614,5,4
118,1,8
6693,6,3
223,2,3
276,2,6
819,8,9
193750,1,0
138000,1,0
91841,9,1
50000,5,0
50000,5,0
50000,5,0
285282,2,2
285282,2,2
285282,2,2
108404,1,4
108404,1,4
108404,1,4
43000,4,0
43000,4,0
43000,4,0
4273,4,3
13725,1,5
6960,6,0
78064,7,4
30404,3,4
12452,1,2
40474,4,4
12452,1,2
10900,1,0
1212,1,2
3,3,3
1628,1,8
20,2,0
471940,4,0
192,1,2
6043,6,3
430349,4,9
452056,4,6
29000,2,0
17777,1,7
9531,9,1
7131,7,1
9114,9,4
100526,1,6
100526,1,6
100526,1,6
8535,8,5
99814,9,4
99814,9,4
525273,5,3
37500,3,0
32500,3,0
691163,6,3
691163,6,3
691163,6,3
14786,1,6
13794,1,4
13184,1,4
977,9,7
854,8,4
14,1,4
26949,2,9
3734976,3,6
3389840,3,0
3327445,3,5
174907,1,7
99,9,9
9346,9,6
57,5,7
5684440,5,0
23365,2,5
56020,5,0
4208535,4,5
3907191,3,1
3141,3,1
5934,5,4
9366,9,6
30273,3,3
10115,1,5
9000,9,0
15500,1,0
37590,3,0
70000,7,0
85000,8,0
283619,2,9
445694,4,4
87500,8,0
87500,8,0
5584,5,4
87500,8,0
17093,1,3
64,6,4
23317,2,7
38164,3,4
7012,7,2
12210,1,0
20220,2,0
2500754,2,4
1354575,1,5
203709,2,9
177318,1,8
795,7,5
140831,1,1
111200,1,0
23535,2,5
49320,4,0
43381,4,1
292220,2,0
76086,7,6
17289,1,9
3370,3,0
5654,5,4
2970,2,0
68902,6,2
55408,5,8
39888,3,8
265,2,5
4681,4,1
34700,3,0
14,1,4
279,2,9
16667,1,7
111883,1,3
286752,2,2
10779,1,9
11608,1,8
69785,6,5
287033,2,3
45709,4,9
16571,1,1
20378,2,8
46020,4,0
3765,3,5
4875,4,5
17000,1,0
12592,1,2
2617,2,7
260,2,0
23468,2,8
15225,1,5
125245,1,5
125245,1,5
125245,1,5
602927,6,7
3100057,3,7
649338,6,8
778100,7,0
778100,7,0
905822,9,2
2271,2,1
4542,4,2
2271,2,1
1498,1,8
22344,2,4
31478,3,8
101836,1,6
5575,5,5
11565,1,5
22541,2,1
17209,1,9
19711,1,1
197752,1,2
245910,2,0
13804,1,4
778,7,8
19892,1,2
134513,1,3
65526,6,6
6501,6,1
14927,1,7
12656,1,6
41137,4,7
15330,1,0
13069,1,9
765,7,5
902,9,2
20698,2,8
20231,2,1
20231,2,1
1759,1,9
8,8,8
763,7,3
141,1,1
93,9,3
2218,2,8
736,7,6
788,7,8
28,2,8
190211,1,1
147787,1,7
920924,9,4
120191,1,1
584,5,4
385,3,5
844,8,4
196,1,6
251,2,1
232,2,2
1221,1,1
1332,1,2
1500,1,0
2456,2,6
2449,2,9
3954,3,4
1129,1,9
284,2,4
387,3,7
1143,1,3
18792,1,2
14094,1,4
4698,4,8
3685,3,5
353,3,3
4374,4,4
21255,2,5
1906,1,6
1029,1,9
71,7,1
2525,2,5
1100,1,0
67,6,7
10440,1,0
1590,1,0
31578,3,8
15789,1,9
15789,1,9
15789,1,9
1264450,1,0
4076026,4,6
1170,1,0
6857,6,7
248,2,8
1525038,1,8
2940,2,0
3920,3,0
7537,7,7
7024,7,4
150,1,0
180,1,0
13130,1,0
13105,1,5
1650,1,0
5689,5,9
33762,3,2
1349,1,9
6697,6,7
75834,7,4
1456,1,6
1349,1,9
13500,1,0
125,1,5
2128,2,8
4257,4,7
15000,1,0
3220,3,0
23727,2,7
15060,1,0
26134,2,4
24497,2,7
31761,3,1
496061,4,1
440244,4,4
394942,3,2
21015,2,5
1966,1,6
8777,8,7
1966,1,6
6504,6,4
895,8,5
1572,1,2
1572,1,2
3094,3,4
10135,1,5
2232,2,2
1966,1,6
9601,9,1
15039,1,9
6626,6,6
50232,5,2
58216,5,6
68730,6,0
192823,1,3
1166,1,6
2545,2,5
276,2,6
4728,4,8
204125,2,5
4000,4,0
20250000,2,0
36417188,3,8
26221875,2,5
7835938,7,8
24000,2,0
3074,3,4
3269000,3,0
11125000,1,0
2331000,2,0
872849,8,9
58551,5,1
410700,4,0
40456655,4,5
29515,2,5
3917,3,7
20706,2,6
17728,1,8
8629,8,9
2515,2,5
4894,4,4
2398,2,8
2857,2,7
3523,3,3
30000,3,0
1284,1,4
10700,1,0
274,2,4
95905,9,5
11965,1,5
529799,5,9
1167682,1,2
77850,7,0
313531,3,1
8265,8,5
308,3,8
293,2,3
39087,3,7
17126,1,6
37158,3,8
76287,7,7
363832,3,2
11203,1,3
10565,1,5
4260,4,0
449,4,9
7472,7,2
511,5,1
25667,2,7
36056,3,6
37583,3,3
36056,3,6
25667,2,7
36056,3,6
25667,2,7
37583,3,3
37583,3,3
245000,2,0
7180,7,0
7038,7,8
589,5,9
36664,3,4
50,5,0
2883,2,3
14182,1,2
58499,5,9
426,4,6
4163,4,3
49522,4,2
5103,5,3
346,3,6
31792,3,2
2310269,2,9
4346,4,6
2201,2,1
321770,3,0
422,4,2
32745,3,5
1207241,1,1
19606,1,6
440908,4,8
1258,1,8
2056294,2,4
2741091,2,1
1616689,1,9
1207789,1,9
46699,4,9
64210,6,0
10210,1,0
2084868,2,8
14481,1,1
921,9,1
8469,8,9
3577,3,7
35806,3,6
2979,2,9
1200,1,0
61823,6,3
75629,7,9
107010,1,0
55209,5,9
174424,1,4
250997,2,7
1379,1,9
7175,7,5
16047,1,7
57,5,7
417,4,7
3806,3,6
399,3,9
25,2,5
22388,2,8
3739,3,9
8642,8,2
110,1,0
13,1,3
6956,6,6
2485,2,5
8657,8,7
198,1,8
25000,2,0
25000,2,0
2316924,2,4
1697564,1,4
2700380,2,0
291,2,1
47426,4,6
32311,3,1
26527,2,7
10500,1,0
8000,8,0
60300,6,0
2850,2,0
86161,8,1
64567,6,7
950,9,0
475,4,5
403,4,3
475,4,5
89807,8,7
7460,7,0
504,5,4
3505,3,5
2628,2,8
32,3,2
2921,2,1
811467,8,7
6500,6,0
998,9,8
24125,2,5
7000,7,0
10920,1,0
234,2,4
198,1,8
113,1,3
7000,7,0
350729,3,9
119944,1,4
522134,5,4
7200,7,0
2240,2,0
3752,3,2
624,6,4
510,5,0
3367,3,7
24907,2,7
838,8,8
220,2,0
2109,2,9
12905,1,5
4553,4,3
1694,1,4
2233,2,3
4855,4,5
171,1,1
1043,1,3
469,4,9
1193,1,3
190,1,0
2976,2,6
35391,3,1
13033,1,3
12055,1,5
14848,1,8
11464,1,4
85364,8,4
85364,8,4
1902025,1,5
7664,7,4
602,6,2
12,1,2
18,1,8
13,1,3
14143,1,3
