number,first,last
10689,1,9
362,3,2
367,3,7
17849,1,9
362,3,2
362,3,2
374,3,4
367,3,7
1129,1,9
385,3,5
362,3,2
374,3,4
374,3,4
362,3,2
362,3,2
380,3,0
380,3,0
380,3,0
362,3,2
362,3,2
367,3,7
13745,1,5
367,3,7
25980,2,0
22800,2,0
36000,3,0
3142,3,2
362,3,2
362,3,2
367,3,7
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
362,3,2
21857,2,7
23032,2,2
1.08365,1,5
7630,7,0
6890,6,0
3280,3,0
2361,2,1
6211,6,1
362,3,2
42700,4,0
362,3,2
6775,6,5
3120,3,0
3670,3,0
2390,2,0
10140,1,0
209,2,9
1995,1,5
7015,7,5
13188,1,8
2015,2,5
2015,2,5
2015,2,5
2015,2,5
2015,2,5
2015,2,5
2015,2,5
2015,2,5
2015,2,5
2813,2,3
27795,2,5
53098,5,8
1250,1,0
2741,2,1
1995,1,5
1995,1,5
1995,1,5
3751,3,1
27795,2,5
6770,6,0
3085,3,5
2.8349999999999995,2,5
1.098,1,8
3108,3,8
2.11,2,1
4.444,4,4
1.08327,1,7
3430,3,0
9600,9,0
10469,1,9
30180,3,0
7283,7,3
4300,4,0
48200,4,0
54900,5,0
54900,5,0
26600,2,0
58440,5,0
362,3,2
367,3,7
11998,1,8
15800,1,0
362,3,2
30550,3,0
362,3,2
362,3,2
362,3,2
10278,1,8
9095,9,5
26500,2,0
26500,2,0
25000,2,0
31495,3,5
1.343,1,3
1975,1,5
9503,9,3
5141,5,1
21640,2,0
39000,3,0
46000,4,0
362,3,2
362,3,2
362,3,2
2800,2,0
11588,1,8
38613,3,3
11270,1,0
896,8,6
55720,5,0
69475,6,5
8900,8,0
13500,1,0
1,1,1
93710,9,0
1797,1,7
1416,1,6
2016,2,6
5658,5,8
8928,8,8
1384,1,4
9513,9,3
4500,4,0
16038,1,8
15200,1,0
2.9692499999999997,2,5
32734,3,4
3363,3,3
10557,1,7
72590,7,0
1473,1,3
7786,7,6
7600,7,0
12390,1,0
367,3,7
3859,3,9
79500,7,0
399,3,9
399,3,9
54900,5,0
54900,5,0
54900,5,0
54900,5,0
54900,5,0
54900,5,0
54900,5,0
3400,3,0
90628,9,8
18389,1,9
5880,5,0
14998,1,8
2.1470000000000002,2,7
9992,9,2
37500,3,0
16854,1,4
2.3182199999999997,2,2
6890,6,0
8246,8,6
92500,9,0
34180,3,0
8300,8,0
7200,7,0
15940,1,0
3749,3,9
60000,6,0
1.035,1,5
5083,5,3
17005,1,5
1.02,1,2
1.151,1,1
16995,1,5
8020,8,0
2275,2,5
15000,1,0
3836,3,6
1079,1,9
22000,2,0
16900,1,0
5900,5,0
33000,3,0
1071,1,1
1.80557,1,7
1.4630999999999998,1,1
33400,3,0
7500,7,0
5798,5,8
5580,5,0
19488,1,8
16900,1,0
1.2,1,2
1.785,1,5
2.403,2,3
97880,9,0
1.94,1,4
25000,2,0
11952,1,2
31421,3,1
30089,3,9
28430,2,0
3398,3,8
1598,1,8
3995,3,5
11838,1,8
31900,3,0
1.647,1,7
84195,8,5
16500,1,0
1.9609999999999999,1,1
20175,2,5
11250,1,0
47935,4,5
22000,2,0
7000,7,0
28774,2,4
10000,1,0
1.339,1,9
1.232,1,2
31750,3,0
13671,1,1
6295,6,5
97000,9,0
2.25,2,5
31649,3,9
8059,8,9
9200,9,0
1.358,1,8
15800,1,0
19900,1,0
4304,4,4
57800,5,0
1.50348,1,8
54679,5,9
374,3,4
1825,1,5
33800,3,0
8461,8,1
362,3,2
48715,4,5
890,8,0
5996,5,6
2327,2,7
3247,3,7
367,3,7
367,3,7
3032,3,2
14761,1,1
1195,1,5
357,3,7
362,3,2
380,3,0
50800,5,0
8866,8,6
3099,3,9
79500,7,0
17279,1,9
1.2908,1,8
46800,4,0
25000,2,0
35000,3,0
22000,2,0
19500,1,0
50687,5,7
4006,4,6
5021,5,1
38890,3,0
7999,7,9
10830,1,0
31222,3,2
67000,6,0
1282,1,2
14705,1,5
63965,6,5
676,6,6
2128,2,8
29000,2,0
9800,9,0
1094,1,4
37989,3,9
5500,5,0
87947,8,7
9900,9,0
3366,3,6
13260,1,0
18669,1,9
4505,4,5
9851,9,1
70825,7,5
33000,3,0
1300,1,0
65195,6,5
2895,2,5
3204,3,4
9888,9,8
55438,5,8
2.245,2,5
30900,3,0
11000,1,0
1881,1,1
14949,1,9
61495,6,5
12765,1,5
3800,3,0
5.112189999999999,5,9
1.4805,1,5
437,4,7
362,3,2
16720,1,0
5875,5,5
16100,1,0
1232,1,2
10585,1,5
24334,2,4
16898,1,8
13398,1,8
10275,1,5
17723,1,3
1.12862,1,2
9000,9,0
2.2977000000000003,2,7
28470,2,0
14190,1,0
23431,2,1
16000,1,0
17900,1,0
2128,2,8
54900,5,0
54900,5,0
71880,7,0
3384,3,4
5416,5,6
54900,5,0
54900,5,0
54900,5,0
54900,5,0
54900,5,0
51785,5,5
54900,5,0
54900,5,0
54900,5,0
54900,5,0
54900,5,0
54900,5,0
54900,5,0
54900,5,0
54900,5,0
37500,3,0
57000,5,0
52000,5,0
25160,2,0
38000,3,0
840,8,0
16000,1,0
42137,4,7
9380,9,0
60600,6,0
69360,6,0
1,1,1
11300,1,0
11300,1,0
1.89575,1,5
2913,2,3
2.2889900000000005,2,9
92400,9,0
11500,1,0
93200,9,0
69543,6,3
93039,9,9
13465,1,5
92400,9,0
18000,1,0
84000,8,0
75982,7,2
26497,2,7
10416,1,6
61378,6,8
5300,5,0
9335,9,5
9335,9,5
9935,9,5
2.4351999999999996,2,2
2.4807,2,7
1.0592,1,2
39145,3,5
72200,7,0
16300,1,0
53600,5,0
2585,2,5
424,4,4
1750,1,0
2737,2,7
22990,2,0
63000,6,0
70800,7,0
9900,9,0
9900,9,0
19900,1,0
6359,6,9
63264,6,4
5489,5,9
2749,2,9
1.3960000000000001,1,6
700,7,0
3048,3,8
1995,1,5
15400,1,0
97194,9,4
7020,7,0
9500,9,0
38818,3,8
24000,2,0
24100,2,0
2.0437200000000004,2,2
26400,2,0
32000,3,0
64522,6,2
999,9,9
13484,1,4
5792,5,2
3000,3,0
33780,3,0
5270,5,0
1.05843,1,3
8259,8,9
1497,1,7
9161,9,1
38704,3,4
15556,1,6
11530,1,0
8998,8,8
47500,4,0
16800,1,0
11935,1,5
25500,2,0
50,5,0
8640,8,0
6498,6,8
12175,1,5
13394,1,4
6117,6,7
12552,1,2
14900,1,0
14900,1,0
14900,1,0
4995,4,5
17663,1,3
18050,1,0
42600,4,0
1997,1,7
92525,9,5
53700,5,0
279,2,9
2400,2,0
15790,1,0
