data,country,first,n,percent,benford_percent
cities,Fiction,1,15,0.26785714285714285,0.30102999566398114
cities,Fiction,2,11,0.19642857142857142,0.17609125905568124
cities,Fiction,3,10,0.17857142857142858,0.1249387366082999
cities,Fiction,4,5,0.08928571428571429,0.0969100130080564
cities,Fiction,5,3,0.05357142857142857,0.0791812460476248
cities,Fiction,6,4,0.07142857142857142,0.06694678963061322
cities,Fiction,7,4,0.07142857142857142,0.057991946977686726
cities,Fiction,8,3,0.05357142857142857,0.051152522447381284
cities,Fiction,9,1,0.017857142857142856,0.04575749056067514
cities,US,1,8556,0.2983991908764343,0.30102999566398114
cities,US,2,5068,0.17675164789174486,0.17609125905568124
cities,US,3,3535,0.1232867157255955,0.1249387366082999
cities,US,4,2800,0.09765284413908555,0.0969100130080564
cities,US,5,2215,0.07725037491716946,0.0791812460476248
cities,US,6,1946,0.06786872667666445,0.06694678963061322
cities,US,7,1679,0.05855683046768737,0.057991946977686726
cities,US,8,1530,0.05336030411885746,0.051152522447381284
cities,US,9,1344,0.046873365186761065,0.04575749056067514
elections,Iran,1,66,0.27848101265822783,0.30102999566398114
elections,Iran,2,37,0.15611814345991562,0.17609125905568124
elections,Iran,3,27,0.11392405063291139,0.1249387366082999
elections,Iran,4,23,0.0970464135021097,0.0969100130080564
elections,Iran,5,21,0.08860759493670886,0.0791812460476248
elections,Iran,6,18,0.0759493670886076,0.06694678963061322
elections,Iran,7,20,0.08438818565400844,0.057991946977686726
elections,Iran,8,10,0.04219409282700422,0.051152522447381284
elections,Iran,9,15,0.06329113924050633,0.04575749056067514
elections,US,1,126,0.3673469387755102,0.30102999566398114
elections,US,2,51,0.14868804664723032,0.17609125905568124
elections,US,3,37,0.10787172011661808,0.1249387366082999
elections,US,4,32,0.09329446064139942,0.0969100130080564
elections,US,5,21,0.061224489795918366,0.0791812460476248
elections,US,6,23,0.06705539358600583,0.06694678963061322
elections,US,7,15,0.043731778425655975,0.057991946977686726
elections,US,8,22,0.0641399416909621,0.051152522447381284
elections,US,9,16,0.04664723032069971,0.04575749056067514
waitlist,Finland,1,175,0.2946127946127946,0.30102999566398114
waitlist,Finland,2,106,0.17845117845117844,0.17609125905568124
waitlist,Finland,3,67,0.1127946127946128,0.1249387366082999
waitlist,Finland,4,64,0.10774410774410774,0.0969100130080564
waitlist,Finland,5,51,0.08585858585858586,0.0791812460476248
waitlist,Finland,6,41,0.06902356902356903,0.06694678963061322
waitlist,Finland,7,43,0.0723905723905724,0.057991946977686726
waitlist,Finland,8,25,0.04208754208754209,0.051152522447381284
waitlist,Finland,9,22,0.037037037037037035,0.04575749056067514
waitlist,Spain,1,312,0.4083769633507853,0.30102999566398114
waitlist,Spain,2,117,0.1531413612565445,0.17609125905568124
waitlist,Spain,3,47,0.061518324607329845,0.1249387366082999
waitlist,Spain,4,45,0.058900523560209424,0.0969100130080564
waitlist,Spain,5,50,0.06544502617801047,0.0791812460476248
waitlist,Spain,6,31,0.04057591623036649,0.06694678963061322
waitlist,Spain,7,55,0.07198952879581152,0.057991946977686726
waitlist,Spain,8,41,0.05366492146596859,0.051152522447381284
waitlist,Spain,9,66,0.08638743455497382,0.04575749056067514
