country,city,location,number,first,last
US,South Creek,"Washington, Pierce",2500,2,0
US,Roslyn,"Washington, Kittitas",947,9,7
US,Sprague,"Washington, Lincoln",441,4,1
US,Gig Harbor,"Washington, Pierce",9507,9,7
US,Lake Cassidy,"Washington, Snohomish",3591,3,1
US,Tenino,"Washington, Thurston",1830,1,0
US,Jamestown,"Washington, Clallam",289,2,9
US,Three Lakes,"Washington, Snohomish",3390,3,0
US,Curlew Lake,"Washington, Ferry",573,5,3
US,Chain Lake,"Washington, Snohomish",4280,4,0
US,Pateros,"Washington, Okanogan",701,7,1
US,Rosburg,"Washington, Wahkiakum",385,3,5
US,Parkland,"Washington, Pierce",37019,3,9
US,Birch Bay,"Washington, Whatcom",8642,8,2
US,Ashford,"Washington, Pierce",162,1,2
US,Navy Yard City,"Washington, Kitsap",3154,3,4
US,Omak,"Washington, Okanogan",8130,8,0
US,Farmington,"Washington, Whitman",154,1,4
US,Buckley,"Washington, Pierce",4819,4,9
US,Cathcart,"Washington, Snohomish",2506,2,6
US,Poulsbo,"Washington, Kitsap",10670,1,0
US,Anacortes,"Washington, Skagit",17955,1,5
US,Maplewood,"Washington, Pierce",5340,5,0
US,Creston,"Washington, Lincoln",226,2,6
US,Rockford,"Washington, Spokane",477,4,7
US,Wishram,"Washington, Klickitat",438,4,8
US,Centralia,"Washington, Lewis",41643,4,3
US,South Hill,"Washington, Pierce",56379,5,9
US,Longview Heights,"Washington, Cowlitz",3678,3,8
US,Erlands Point-Kitsap Lake,"Washington, Kitsap",2973,2,3
US,Amboy,"Washington, Clark",2027,2,7
US,St. John,"Washington, Whitman",561,5,1
US,Dallesport,"Washington, Klickitat",1739,1,9
US,Ketron Island,"Washington, Pierce",0,0,0
US,Mesa,"Washington, Franklin",503,5,3
US,Fife,"Washington, Pierce",10154,1,4
US,Moses Lake North,"Washington, Grant",3787,3,7
US,Chewelah,"Washington, Stevens",2637,2,7
US,Grayland,"Washington, Grays Harbor",756,7,6
US,Kittitas,"Washington, Kittitas",1491,1,1
US,Camano,"Washington, Island",15989,1,9
US,Monroe North,"Washington, Snohomish",1704,1,4
US,North Bonneville,"Washington, Skamania",999,9,9
US,Klickitat,"Washington, Klickitat",358,3,8
US,Loon Lake,"Washington, Stevens",784,7,4
US,Newport,"Washington, Pend Oreille",2635,2,5
US,Mead,"Washington, Spokane",6859,6,9
US,Cashmere,"Washington, Chelan",4864,4,4
US,Aberdeen Gardens,"Washington, Grays Harbor",283,2,3
US,Ocean Shores,"Washington, Grays Harbor",5553,5,3
US,Basin City,"Washington, Franklin",1281,1,1
US,Wilkeson,"Washington, Pierce",507,5,7
US,Meadow Glade,"Washington, Clark",2895,2,5
US,Arlington Heights,"Washington, Snohomish",2826,2,6
US,Uniontown,"Washington, Whitman",343,3,3
US,Oakesdale,"Washington, Whitman",442,4,2
US,West Side Highway,"Washington, Cowlitz",5902,5,2
US,Conconully,"Washington, Okanogan",208,2,8
US,Latah,"Washington, Spokane",187,1,7
US,Elma,"Washington, Grays Harbor",3092,3,2
US,Tieton,"Washington, Yakima",1294,1,4
US,Southworth,"Washington, Kitsap",2280,2,0
US,Danville,"Washington, Ferry",19,1,9
US,Toppenish,"Washington, Yakima",14441,1,1
US,River Road,"Washington, Clallam",952,9,2
US,Geneva,"Washington, Whatcom",2632,2,2
US,Yakima,"Washington, Yakima",133233,1,3
US,Moxee,"Washington, Yakima",4032,4,2
US,Edmonds,"Washington, Snohomish",42209,4,9
US,Kalama,"Washington, Cowlitz",3794,3,4
US,Laurier,"Washington, Ferry",0,0,0
US,Vashon,"Washington, King",9635,9,5
US,Country Homes,"Washington, Spokane",5730,5,0
US,Darrington,"Washington, Snohomish",1406,1,6
US,Metaline Falls,"Washington, Pend Oreille",245,2,5
US,Lyle,"Washington, Klickitat",548,5,8
US,Cascade Valley,"Washington, Grant",1797,1,7
US,Spangle,"Washington, Spokane",307,3,7
US,Methow,"Washington, Okanogan",78,7,8
US,Waterville,"Washington, Douglas",1198,1,8
US,Lake Roesiger,"Washington, Snohomish",657,6,7
US,Milton,"Washington, Pierce",8230,8,0
US,Krupp,"Washington, Grant",50,5,0
US,Alderton,"Washington, Pierce",3303,3,3
US,DuPont,"Washington, Pierce",9487,9,7
US,Edgewood,"Washington, Pierce",11213,1,3
US,North Puyallup,"Washington, Pierce",1848,1,8
US,Pacific Beach,"Washington, Grays Harbor",538,5,8
US,Manson,"Washington, Chelan",1532,1,2
US,Brewster,"Washington, Okanogan",2343,2,3
US,Battle Ground,"Washington, Clark",20576,2,6
US,Shoreline,"Washington, King",56189,5,9
US,Cosmopolis,"Washington, Grays Harbor",1624,1,4
US,Airway Heights,"Washington, Spokane",8166,8,6
US,Grandview,"Washington, Yakima",18858,1,8
US,Inchelium,"Washington, Ferry",413,4,3
US,Grand Coulee,"Washington, Grant",1042,1,2
US,Union,"Washington, Mason",272,2,2
US,Torboy,"Washington, Ferry",48,4,8
US,Kelso,"Washington, Cowlitz",12130,1,0
US,Westport,"Washington, Grays Harbor",2051,2,1
US,Junction City,"Washington, Grays Harbor",10,1,0
US,Lake Ketchum,"Washington, Snohomish",894,8,4
US,West Pasco,"Washington, Franklin",1233,1,3
US,Des Moines,"Washington, King",31238,3,8
US,Davenport,"Washington, Lincoln",1708,1,8
US,Seattle,"Washington, King",3643765,3,5
US,Lake Stickney,"Washington, Snohomish",9667,9,7
US,Carnation,"Washington, King",2164,2,4
US,Everett,"Washington, Snohomish",110079,1,9
US,Warden,"Washington, Grant",2716,2,6
US,Palouse,"Washington, Whitman",1055,1,5
US,Terrace Heights,"Washington, Yakima",7849,7,9
