city,location,number,first,last
Athkatla,Forgotten Realms,130000,1,0
Baldur's Gate,Forgotten Realms,42000,4,0
Barareh,Pavarchin,92,9,2
Bedrock,The Flintstones,2500,2,0
Bespin,Star Wars,6000000,6,6
Bialya,DC Comics,250000,2,0
Blueberry,Grand Theft Auto,1309,1,9
Brit-Cit,Judge Dredd,160000000,1,8
Cabot Cove,"Murder, She Wrote",3560,3,0
Calimport,Forgotten Realms,192795,1,5
Cape Hazard,Dystopia,287000,2,0
"Capeside, Massachusetts",Dawson's Creek,35000,3,0
"Castle Rock, Maine",Stephen King,1280,1,0
Central City,1987,290000,2,0
Central City,1990,750000,7,0
Central City,2010,1395600,1,0
Coast City,Blackest Night,2765321,2,1
Coast City,Final Crisis,2686164,2,4
De Noc,Bear Up North,1256565,1,5
De Noc metro area,Bear Up North,2086959,2,9
Dillimore,Grand Theft Auto,1003,1,3
"Eerie, Indiana","Eerie, Indiana",16661,1,1
Elmshire,World of Greyhawk,4000,4,0
Elwood City,Arthur,79567,7,7
"Fox Creek, Kansas",One Smart Kid,492,4,2
Free City of Greyhawk,World of Greyhawk,69500,6,0
Greyhawk Domain,World of Greyhawk,160000,1,0
Grim City,Dystopia,32000,3,0
Hardby,World of Greyhawk,5100,5,0
Heim,Battlestar Galactica,25000,2,0
"Jericho, Kansas",Jericho,5000,5,0
Liberty City,Grand Theft Auto,8363710,8,0
Los Santos,Grand Theft Auto,3200000,3,0
"Mayberry, North Carolina",Andy Griffith Show,1800,1,0
"Mercy, Saskatchewan",Little Mosque on the Prairie,14000,1,0
Metropolis,Adventure Comics ,78000000,7,7
"Midlin, Kansas","Leaving Midlin, Kansas",2789,2,9
Montgomery,Grand Theft Auto,3623,3,3
Neverwinter,NA,23200,2,0
Palomino Creek,Grand Theft Auto,7012,7,2
Safeton,World of Greyhawk,6100,6,0
San Andreo,The West Wing,42000,4,0
San Sombrèro,San Sombrèro,8600000,8,0
Santa Teresa,Kinsey Milhone series,85000,8,0
Sasserine,World of Greyhawk,15650,1,0
Silvermoon,Forgotten Realms,37000,3,0
Silvermoon,Waterdeep and the North,37000,3,0
Sôvä nad Sŕním,Torchwood,42,4,2
Springfield,The Simpsons,30720,3,0
Star City,DC Comics,5000000,5,6
"Sunnydale, California",Buffy the Vampire Slayer ,32900,3,0
"Sunnydale, California",Buffy the Vampire Slayer ,38500,3,0
Syldavia,Tintin,642000,6,0
Vice City,Grand Theft Auto,1800000,1,0
Waterdeep,Forgotten Realms,130000,1,0
Zion,The Matrix,250000,2,0
