city,location,number,first,last
South Creek,"Washington, Pierce",2500,2,0
Roslyn,"Washington, Kittitas",947,9,7
Sprague,"Washington, Lincoln",441,4,1
Gig Harbor,"Washington, Pierce",9507,9,7
Lake Cassidy,"Washington, Snohomish",3591,3,1
Tenino,"Washington, Thurston",1830,1,0
Jamestown,"Washington, Clallam",289,2,9
Three Lakes,"Washington, Snohomish",3390,3,0
Curlew Lake,"Washington, Ferry",573,5,3
Chain Lake,"Washington, Snohomish",4280,4,0
Pateros,"Washington, Okanogan",701,7,1
Rosburg,"Washington, Wahkiakum",385,3,5
Parkland,"Washington, Pierce",37019,3,9
Birch Bay,"Washington, Whatcom",8642,8,2
Ashford,"Washington, Pierce",162,1,2
Navy Yard City,"Washington, Kitsap",3154,3,4
Omak,"Washington, Okanogan",8130,8,0
Farmington,"Washington, Whitman",154,1,4
Buckley,"Washington, Pierce",4819,4,9
Cathcart,"Washington, Snohomish",2506,2,6
Poulsbo,"Washington, Kitsap",10670,1,0
Anacortes,"Washington, Skagit",17955,1,5
Maplewood,"Washington, Pierce",5340,5,0
Creston,"Washington, Lincoln",226,2,6
Rockford,"Washington, Spokane",477,4,7
Wishram,"Washington, Klickitat",438,4,8
Centralia,"Washington, Lewis",41643,4,3
South Hill,"Washington, Pierce",56379,5,9
Longview Heights,"Washington, Cowlitz",3678,3,8
Erlands Point-Kitsap Lake,"Washington, Kitsap",2973,2,3
Amboy,"Washington, Clark",2027,2,7
St. John,"Washington, Whitman",561,5,1
Dallesport,"Washington, Klickitat",1739,1,9
Ketron Island,"Washington, Pierce",0,0,0
Mesa,"Washington, Franklin",503,5,3
Fife,"Washington, Pierce",10154,1,4
Moses Lake North,"Washington, Grant",3787,3,7
Chewelah,"Washington, Stevens",2637,2,7
Grayland,"Washington, Grays Harbor",756,7,6
Kittitas,"Washington, Kittitas",1491,1,1
Camano,"Washington, Island",15989,1,9
Monroe North,"Washington, Snohomish",1704,1,4
North Bonneville,"Washington, Skamania",999,9,9
Klickitat,"Washington, Klickitat",358,3,8
Loon Lake,"Washington, Stevens",784,7,4
Newport,"Washington, Pend Oreille",2635,2,5
Mead,"Washington, Spokane",6859,6,9
Cashmere,"Washington, Chelan",4864,4,4
Aberdeen Gardens,"Washington, Grays Harbor",283,2,3
Ocean Shores,"Washington, Grays Harbor",5553,5,3
Basin City,"Washington, Franklin",1281,1,1
Wilkeson,"Washington, Pierce",507,5,7
Meadow Glade,"Washington, Clark",2895,2,5
Arlington Heights,"Washington, Snohomish",2826,2,6
Uniontown,"Washington, Whitman",343,3,3
Oakesdale,"Washington, Whitman",442,4,2
West Side Highway,"Washington, Cowlitz",5902,5,2
Conconully,"Washington, Okanogan",208,2,8
Latah,"Washington, Spokane",187,1,7
Elma,"Washington, Grays Harbor",3092,3,2
Tieton,"Washington, Yakima",1294,1,4
Southworth,"Washington, Kitsap",2280,2,0
Danville,"Washington, Ferry",19,1,9
Toppenish,"Washington, Yakima",14441,1,1
River Road,"Washington, Clallam",952,9,2
Geneva,"Washington, Whatcom",2632,2,2
Yakima,"Washington, Yakima",133233,1,3
Moxee,"Washington, Yakima",4032,4,2
Edmonds,"Washington, Snohomish",42209,4,9
Kalama,"Washington, Cowlitz",3794,3,4
Laurier,"Washington, Ferry",0,0,0
Vashon,"Washington, King",9635,9,5
Country Homes,"Washington, Spokane",5730,5,0
Darrington,"Washington, Snohomish",1406,1,6
Metaline Falls,"Washington, Pend Oreille",245,2,5
Lyle,"Washington, Klickitat",548,5,8
Cascade Valley,"Washington, Grant",1797,1,7
Spangle,"Washington, Spokane",307,3,7
Methow,"Washington, Okanogan",78,7,8
Waterville,"Washington, Douglas",1198,1,8
Lake Roesiger,"Washington, Snohomish",657,6,7
Milton,"Washington, Pierce",8230,8,0
Krupp,"Washington, Grant",50,5,0
Alderton,"Washington, Pierce",3303,3,3
DuPont,"Washington, Pierce",9487,9,7
Edgewood,"Washington, Pierce",11213,1,3
North Puyallup,"Washington, Pierce",1848,1,8
Pacific Beach,"Washington, Grays Harbor",538,5,8
Manson,"Washington, Chelan",1532,1,2
Brewster,"Washington, Okanogan",2343,2,3
Battle Ground,"Washington, Clark",20576,2,6
Shoreline,"Washington, King",56189,5,9
Cosmopolis,"Washington, Grays Harbor",1624,1,4
Airway Heights,"Washington, Spokane",8166,8,6
Grandview,"Washington, Yakima",18858,1,8
Inchelium,"Washington, Ferry",413,4,3
Grand Coulee,"Washington, Grant",1042,1,2
Union,"Washington, Mason",272,2,2
Torboy,"Washington, Ferry",48,4,8
Kelso,"Washington, Cowlitz",12130,1,0
Westport,"Washington, Grays Harbor",2051,2,1
Junction City,"Washington, Grays Harbor",10,1,0
Lake Ketchum,"Washington, Snohomish",894,8,4
West Pasco,"Washington, Franklin",1233,1,3
Des Moines,"Washington, King",31238,3,8
Davenport,"Washington, Lincoln",1708,1,8
Seattle,"Washington, King",3643765,3,5
Lake Stickney,"Washington, Snohomish",9667,9,7
Carnation,"Washington, King",2164,2,4
Everett,"Washington, Snohomish",110079,1,9
Warden,"Washington, Grant",2716,2,6
Palouse,"Washington, Whitman",1055,1,5
Terrace Heights,"Washington, Yakima",7849,7,9
Clarkston,"Washington, Asotin",7396,7,6
Elmer City,"Washington, Okanogan",247,2,7
Mossyrock,"Washington, Lewis",789,7,9
Summit View,"Washington, Pierce",7421,7,1
Suquamish,"Washington, Kitsap",4108,4,8
Newcastle,"Washington, King",11681,1,1
Stanwood,"Washington, Snohomish",7161,7,1
Kapowsin,"Washington, Pierce",391,3,1
Donald,"Washington, Yakima",0,0,0
Altoona,"Washington, Wahkiakum",61,6,1
South Prairie,"Washington, Pierce",443,4,3
Eschbach,"Washington, Yakima",377,3,7
Indianola,"Washington, Kitsap",3520,3,0
Reardan,"Washington, Lincoln",582,5,2
Cowiche,"Washington, Yakima",960,9,0
Sunday Lake,"Washington, Snohomish",666,6,6
Rocky Point,"Washington, Kitsap",1449,1,9
Burbank,"Washington, Walla Walla",3398,3,8
Lakeland North,"Washington, King",12487,1,7
Granite Falls,"Washington, Snohomish",6565,6,5
Camas,"Washington, Clark",23331,2,1
Skokomish,"Washington, Mason",755,7,5
Cusick,"Washington, Pend Oreille",217,2,7
Rosalia,"Washington, Whitman",567,5,7
Longbranch,"Washington, Pierce",3236,3,6
Granger,"Washington, Yakima",3542,3,2
North Fort Lewis,"Washington, Pierce",5009,5,9
Tampico,"Washington, Yakima",465,4,5
Tukwila,"Washington, King",20144,2,4
Cathlamet,"Washington, Wahkiakum",553,5,3
Wenatchee,"Washington, Chelan",71512,7,2
Port Ludlow,"Washington, Jefferson",2642,2,2
Castle Rock,"Washington, Cowlitz",2833,2,3
Glacier,"Washington, Whatcom",102,1,2
Index,"Washington, Snohomish",205,2,5
Republic,"Washington, Ferry",1062,1,2
Bellevue,"Washington, King",144444,1,4
Malo,"Washington, Ferry",72,7,2
Anderson Island,"Washington, Pierce",1292,1,2
University Place,"Washington, Pierce",33401,3,1
Montesano,"Washington, Grays Harbor",8494,8,4
Rainier,"Washington, Thurston",2126,2,6
Fords Prairie,"Washington, Lewis",1812,1,2
Roy,"Washington, Pierce",820,8,0
Oso,"Washington, Snohomish",212,2,2
Marblemount,"Washington, Skagit",0,0,0
Elk Plain,"Washington, Pierce",14280,1,0
Burlington,"Washington, Skagit",8783,8,3
Bangor Base,"Washington, Kitsap",6358,6,8
Beaux Arts Village,"Washington, King",326,3,6
Port Gamble Tribal Community,"Washington, Kitsap",920,9,0
Olympia,"Washington, Thurston",196078,1,8
East Wenatchee,"Washington, Douglas",13983,1,3
Addy,"Washington, Stevens",96,9,6
Minnehaha,"Washington, Clark",11767,1,7
