region,candidate,number,first,last
East Azerbaijan,Ahmadinejad,1131111,1,1
East Azerbaijan,Rezai,16920,1,0
East Azerbaijan,Karrubi,7246,7,6
East Azerbaijan,Mousavi,837858,8,8
East Azerbaijan,Total votes,2010340,2,0
East Azerbaijan,Invalid votes,17205,1,5
East Azerbaijan,Valid votes,1993135,1,5
East Azerbaijan,Eligible voters,2461553,2,3
West Azerbaijan,Ahmadinejad,623946,6,6
West Azerbaijan,Rezai,12199,1,9
West Azerbaijan,Karrubi,21609,2,9
West Azerbaijan,Mousavi,656508,6,8
West Azerbaijan,Total votes,1334356,1,6
West Azerbaijan,Invalid votes,20094,2,4
West Azerbaijan,Valid votes,1314262,1,2
West Azerbaijan,Eligible voters,1883144,1,4
Ardabil,Ahmadinejad,325911,3,1
Ardabil,Rezai,6578,6,8
Ardabil,Karrubi,2319,2,9
Ardabil,Mousavi,302825,3,5
Ardabil,Total votes,642005,6,5
Ardabil,Invalid votes,4372,4,2
Ardabil,Valid votes,637633,6,3
Ardabil,Eligible voters,804881,8,1
Isfahan,Ahmadinejad,1799255,1,5
Isfahan,Rezai,51788,5,8
Isfahan,Karrubi,14579,1,9
Isfahan,Mousavi,746697,7,7
Isfahan,Total votes,2637482,2,2
Isfahan,Invalid votes,25163,2,3
Isfahan,Valid votes,2612319,2,9
Isfahan,Eligible voters,2987946,2,6
Ilam,Ahmadinejad,199654,1,4
Ilam,Rezai,5221,5,1
Ilam,Karrubi,7471,7,1
Ilam,Mousavi,96826,9,6
Ilam,Total votes,312667,3,7
Ilam,Invalid votes,3495,3,5
Ilam,Valid votes,309172,3,2
Ilam,Eligible voters,357687,3,7
Bushehr,Ahmadinejad,299357,2,7
Bushehr,Rezai,7608,7,8
Bushehr,Karrubi,3563,3,3
Bushehr,Mousavi,177268,1,8
Bushehr,Total votes,493989,4,9
Bushehr,Invalid votes,6193,6,3
Bushehr,Valid votes,487796,4,6
Bushehr,Eligible voters,580822,5,2
Tehran,Ahmadinejad,3819495,3,5
Tehran,Rezai,147487,1,7
Tehran,Karrubi,67334,6,4
Tehran,Mousavi,3371523,3,3
Tehran,Total votes,7521540,7,0
Tehran,Invalid votes,115701,1,1
Tehran,Valid votes,7405839,7,9
Tehran,Eligible voters,8796466,8,6
Chahar Mahaal and Bakhtiari,Ahmadinejad,359578,3,8
Chahar Mahaal and Bakhtiari,Rezai,22689,2,9
Chahar Mahaal and Bakhtiari,Karrubi,4127,4,7
Chahar Mahaal and Bakhtiari,Mousavi,106099,1,9
Chahar Mahaal and Bakhtiari,Total votes,495446,4,6
Chahar Mahaal and Bakhtiari,Invalid votes,2953,2,3
Chahar Mahaal and Bakhtiari,Valid votes,492493,4,3
