region,candidate,number,first,last
Alabama,Obama,813479,8,9
Alabama,McCain,1266546,1,6
Alabama,Nader,6788,6,8
Alabama,Barr,4991,4,1
Alabama,Baldwin,4310,4,0
Alabama,Others votes,3705,3,5
Alaska,Obama,123594,1,4
Alaska,McCain,193841,1,1
Alaska,Nader,3783,3,3
Alaska,Barr,1589,1,9
Alaska,Baldwin,1660,1,0
Alaska,Others votes,1730,1,0
Arizona,Obama,1034707,1,7
Arizona,McCain,1230111,1,1
Arizona,Nader,11301,1,1
Arizona,Barr,12555,1,5
Arizona,Baldwin,1371,1,1
Arizona,McKinney,3406,3,6
Arizona,Others votes,24,2,4
Arkansas,Obama,422310,4,0
Arkansas,McCain,638017,6,7
Arkansas,Nader,12882,1,2
Arkansas,Barr,4776,4,6
Arkansas,Baldwin,4023,4,3
Arkansas,McKinney,3470,3,0
Arkansas,Others votes,1139,1,9
California,Obama,8274473,8,3
California,McCain,5011781,5,1
California,Nader,108381,1,1
California,Barr,67582,6,2
California,Baldwin,3145,3,5
California,McKinney,38774,3,4
California,Others votes,57764,5,4
Colorado,Obama,1288576,1,6
Colorado,McCain,1073589,1,9
Colorado,Nader,13350,1,0
Colorado,Barr,10897,1,7
Colorado,Baldwin,6233,6,3
Colorado,McKinney,2822,2,2
Colorado,Others votes,5894,5,4
Connecticut,Obama,997772,9,2
Connecticut,McCain,629428,6,8
Connecticut,Nader,19162,1,2
Connecticut,Baldwin,311,3,1
Connecticut,McKinney,90,9,0
Connecticut,Others votes,29,2,9
Delaware,Obama,255459,2,9
Delaware,McCain,152374,1,4
Delaware,Nader,2401,2,1
Delaware,Barr,1109,1,9
Delaware,Baldwin,626,6,6
Delaware,McKinney,385,3,5
Delaware,Others votes,58,5,8
District of Columbia,Obama,245800,2,0
District of Columbia,McCain,17367,1,7
District of Columbia,Nader,958,9,8
District of Columbia,McKinney,590,5,0
District of Columbia,Others votes,1138,1,8
Florida,Obama,4282074,4,4
Florida,McCain,4045624,4,4
Florida,Nader,28124,2,4
Florida,Barr,17218,1,8
Florida,Baldwin,7915,7,5
Florida,McKinney,2887,2,7
Florida,Others votes,6902,6,2
Georgia,Obama,1844123,1,3
Georgia,McCain,2048759,2,9
Georgia,Nader,1158,1,8
Georgia,Barr,28731,2,1
Georgia,Baldwin,1402,1,2
Georgia,McKinney,250,2,0
Georgia,Others votes,63,6,3
Hawaii,Obama,325871,3,1
Hawaii,McCain,120566,1,6
Hawaii,Nader,3825,3,5
Hawaii,Barr,1314,1,4
Hawaii,Baldwin,1013,1,3
Hawaii,McKinney,979,9,9
Idaho,Obama,236440,2,0
Idaho,McCain,403012,4,2
Idaho,Nader,7175,7,5
Idaho,Barr,3658,3,8
Idaho,Baldwin,4747,4,7
Illinois,Obama,3419348,3,8
Illinois,McCain,2031179,2,9
Illinois,Nader,30948,3,8
Illinois,Barr,19642,1,2
Illinois,Baldwin,8256,8,6
Illinois,McKinney,11838,1,8
Illinois,Others votes,1160,1,0
Indiana,Obama,1374039,1,9
Indiana,McCain,1345648,1,8
Indiana,Nader,909,9,9
Indiana,Barr,29257,2,7
Indiana,Baldwin,1024,1,4
Indiana,McKinney,87,8,7
Indiana,Others votes,90,9,0
Iowa,Obama,828940,8,0
Iowa,McCain,682379,6,9
Iowa,Nader,8014,8,4
Iowa,Barr,4590,4,0
Iowa,Baldwin,4445,4,5
Iowa,McKinney,1423,1,3
Iowa,Others votes,7332,7,2
Kansas,Obama,514765,5,5
Kansas,McCain,699655,6,5
Kansas,Nader,10527,1,7
Kansas,Barr,6706,6,6
Kansas,Baldwin,4148,4,8
Kansas,McKinney,35,3,5
Kansas,Others votes,36,3,6
Kentucky,Obama,751985,7,5
Kentucky,McCain,1048462,1,2
Kentucky,Nader,15378,1,8
Kentucky,Barr,5989,5,9
Kentucky,Baldwin,4694,4,4
Louisiana,Obama,782989,7,9
Louisiana,McCain,1148275,1,5
Louisiana,Nader,6997,6,7
Louisiana,Baldwin,2581,2,1
Louisiana,McKinney,9187,9,7
Louisiana,Others votes,10732,1,2
ME 1st Dist.,Obama,232145,2,5
ME 1st Dist.,McCain,144604,1,4
ME 1st Dist.,Nader,5263,5,3
ME 1st Dist.,McKinney,1362,1,2
ME 1st Dist.,Others votes,252,2,2
ME 2nd Dist.,Obama,189778,1,8
ME 2nd Dist.,McCain,150669,1,9
ME 2nd Dist.,Nader,5373,5,3
ME 2nd Dist.,McKinney,1538,1,8
ME 2nd Dist.,Others votes,179,1,9
Maryland,Obama,1629467,1,7
Maryland,McCain,959862,9,2
Maryland,Nader,14713,1,3
Maryland,Barr,9842,9,2
Maryland,Baldwin,3760,3,0
Maryland,McKinney,4747,4,7
Maryland,Others votes,9205,9,5
Massachusetts,Obama,1904097,1,7
Massachusetts,McCain,1108854,1,4
