data,country,last,n,percent,last_percent
cities,Fiction,0,37,0.6607142857142857,0.1
cities,Fiction,1,2,0.03571428571428571,0.1
cities,Fiction,2,4,0.07142857142857142,0.1
cities,Fiction,3,2,0.03571428571428571,0.1
cities,Fiction,4,1,0.017857142857142856,0.1
cities,Fiction,5,2,0.03571428571428571,0.1
cities,Fiction,6,2,0.03571428571428571,0.1
cities,Fiction,7,2,0.03571428571428571,0.1
cities,Fiction,8,1,0.017857142857142856,0.1
cities,Fiction,9,3,0.05357142857142857,0.1
cities,US,0,3125,0.10817266087438125,0.1
cities,US,1,2844,0.0984457752085569,0.1
cities,US,2,2904,0.10052269029734501,0.1
cities,US,3,2988,0.10343037142164838,0.1
cities,US,4,2866,0.09920731074111254,0.1
cities,US,5,2850,0.0986534667174357,0.1
cities,US,6,2822,0.09768423967600125,0.1
cities,US,7,2834,0.09809962269375887,0.1
cities,US,8,2875,0.09951884800443075,0.1
cities,US,9,2781,0.09626501436532936,0.1
elections,Iran,0,26,0.10970464135021098,0.1
elections,Iran,1,24,0.10126582278481013,0.1
elections,Iran,2,23,0.0970464135021097,0.1
elections,Iran,3,20,0.08438818565400844,0.1
elections,Iran,4,21,0.08860759493670886,0.1
elections,Iran,5,18,0.0759493670886076,0.1
elections,Iran,6,25,0.10548523206751055,0.1
elections,Iran,7,26,0.10970464135021098,0.1
elections,Iran,8,29,0.12236286919831224,0.1
elections,Iran,9,25,0.10548523206751055,0.1
elections,US,0,28,0.08163265306122448,0.1
elections,US,1,37,0.10787172011661808,0.1
elections,US,2,38,0.11078717201166181,0.1
elections,US,3,28,0.08163265306122448,0.1
elections,US,4,39,0.11370262390670553,0.1
elections,US,5,35,0.10204081632653061,0.1
elections,US,6,28,0.08163265306122448,0.1
elections,US,7,37,0.10787172011661808,0.1
elections,US,8,33,0.09620991253644315,0.1
elections,US,9,40,0.11661807580174927,0.1
waitlist,Finland,0,82,0.13486842105263158,0.1
waitlist,Finland,1,54,0.08881578947368421,0.1
waitlist,Finland,2,65,0.1069078947368421,0.1
waitlist,Finland,3,68,0.1118421052631579,0.1
waitlist,Finland,4,65,0.1069078947368421,0.1
waitlist,Finland,5,64,0.10526315789473684,0.1
waitlist,Finland,6,55,0.09046052631578948,0.1
waitlist,Finland,7,45,0.07401315789473684,0.1
waitlist,Finland,8,55,0.09046052631578948,0.1
waitlist,Finland,9,55,0.09046052631578948,0.1
waitlist,Spain,0,56,0.07329842931937172,0.1
waitlist,Spain,1,83,0.10863874345549739,0.1
waitlist,Spain,2,75,0.09816753926701571,0.1
waitlist,Spain,3,88,0.11518324607329843,0.1
waitlist,Spain,4,84,0.1099476439790576,0.1
waitlist,Spain,5,75,0.09816753926701571,0.1
waitlist,Spain,6,65,0.08507853403141362,0.1
waitlist,Spain,7,77,0.10078534031413612,0.1
waitlist,Spain,8,83,0.10863874345549739,0.1
waitlist,Spain,9,78,0.10209424083769633,0.1
