player,birthday,yrs,from,to,month,day,country
David Allan,1981-12-27,11,2004,2015,12,27,USA
Henry Louis,1934-02-05,22,1954,1976,2,5,USA
Tommie Lee,1939-08-05,9,1962,1971,8,5,USA
Donald William,1954-09-08,13,1977,1990,9,8,USA
Fausto Andres,1972-08-25,5,2001,2006,8,25,USA
Fernando Antonio,1985-12-17,9,2010,2019,12,17,D.R.
John W.,1850-11-04,0,1875,1875,11,4,USA
Edward James,1877-04-15,13,1897,1910,4,15,USA
Bert Wood,1869-11-11,4,1892,1896,11,11,USA
Charles S.,1866-10-14,4,1893,1897,10,14,USA
Leander Franklin,1862-03-16,0,1890,1890,3,16,USA
Harry Frederick,1874-10-22,2,1903,1905,10,22,USA
William Glenn,1951-02-16,11,1973,1984,2,16,USA
Jeffrey William,1972-08-17,4,1997,2001,8,17,USA
James Anthony,1967-09-19,10,1989,1999,9,19,USA
Kurt Thomas,1969-06-02,8,1993,2001,6,2,USA
Lawrence Kyle,1968-02-18,5,1991,1996,2,18,USA
Ody Cleon,1886-09-05,0,1910,1910,9,5,USA
Paul David,1967-09-15,14,1990,2004,9,15,USA
Albert Julius,1927-07-31,7,1950,1957,7,31,USA
Francis Patterson,1850-01-02,0,1871,1871,1,2,USA
Reginald Damascus,1980-07-15,2,2006,2008,7,15,USA
William Edward,1929-01-30,0,1952,1952,1,30,USA
Michael Brent,1977-09-23,4,2001,2005,9,23,USA
Talmadge Lafayette,1921-10-30,2,1942,1944,10,30,USA
Theodore Wade,1933-03-06,17,1955,1972,3,6,USA
Virgil Woodrow,1915-02-01,1,1946,1947,2,1,USA
Clifford Alexander,1921-08-28,2,1947,1949,8,28,USA
Harry Terrell,1883-10-04,6,1905,1911,10,4,USA
Shawn Wesley,1966-06-17,5,1987,1992,6,17,USA
Calvin Ross,1924-03-02,7,1949,1956,3,2,USA
George Allen,1899-11-09,0,1923,1923,11,9,USA
Johnny Ray,1962-07-04,0,1985,1985,7,4,USA
Bob Kelly,1974-03-11,18,1996,2014,3,11,Venezuela
Bryan Enrique,1997-04-22,0,2019,2019,4,22,D.R.
Joseph Lawrence,1913-05-24,0,1942,1942,5,24,USA
Jose Dariel,1987-01-29,5,2014,2019,1,29,Cuba
Juan de Dios,1985-04-08,0,2011,2011,4,8,D.R.
Etanislao Toni,1984-11-13,7,2007,2014,11,13,D.R.
Winston Leonardo,1977-04-05,3,2006,2009,4,5,D.R.
William Henry,1883-02-02,4,1906,1910,2,2,USA
Jeremiah Lee,1981-12-18,7,2005,2012,12,18,USA
Alfredo,1982-12-08,6,2008,2014,12,8,Mexico
Jose Omar,1977-12-18,4,2001,2005,12,18,D.R.
Juan Carlos,1970-05-05,8,1995,2003,5,5,Mexico
Adam Joseph,1988-08-27,2,2014,2016,8,27,USA
James Justin,1958-09-24,9,1983,1992,9,24,USA
Thomas James,1930-03-07,3,1956,1959,3,7,USA
Dustin Michael,1988-02-26,5,2011,2016,2,26,USA
Florian Frederick,1937-04-10,1,1963,1964,4,10,USA
Cecilio,1946-11-22,3,1972,1975,11,22,Mexico
Eduardo Elixbet,1944-03-09,2,1970,1972,3,9,Panama
Jose,1891-03-04,2,1920,1922,3,4,Cuba
Manuel Alcides,1981-05-01,5,2007,2012,5,1,Panama
Baldomero Pedro,1896-05-19,5,1913,1918,5,19,Cuba
Mark Robert,1968-09-16,3,1994,1997,9,16,USA
Manuel Elias,1969-01-11,NA,NA,NA,1,11,D.R.
Ronald Jose,1997-12-18,1,2018,2019,12,18,Venezuela
Marion Danne,1913-02-10,NA,NA,NA,2,10,USA
Kenneth Jerry,1936-12-17,12,1958,1970,12,17,USA
James Aubrey,1907-01-25,0,1931,1931,1,25,USA
Cristhian Pascual,1991-07-26,5,2014,2019,7,26,D.R.
Willy Rafael,1995-09-02,1,2018,2019,9,2,D.R.
Jason Kendall,1991-08-04,1,2018,2019,8,4,USA
Ace Townsend,1910-03-02,5,1941,1946,3,2,USA
Austin David,1986-08-19,5,2014,2019,8,19,USA
Austin Lance,1991-05-05,2,2017,2019,5,5,USA
Charles Benjamin,1882-05-18,20,1906,1926,5,18,USA
John Bertram,1891-06-21,9,1910,1919,6,21,USA
Robert Burnette,1901-07-24,0,1925,1925,7,24,USA
Robert Andrew,1907-01-20,1,1931,1932,1,20,USA
Robert Henry,1921-12-14,13,1946,1959,12,14,USA
Robert Melvin,1952-01-06,0,1977,1977,1,6,USA
Elvin Clark,1915-06-24,8,1939,1947,6,24,USA
Chance,1994-08-10,1,2018,2019,8,10,USA
Daniel Leslie,1887-06-19,1,1914,1915,6,19,USA
David Lee,1987-05-15,0,2013,2013,5,15,USA
Richard Leroy,1920-04-08,0,1947,1947,4,8,USA
Harold Douglas,1943-01-27,0,1969,1969,1,27,USA
George Henry,1855-01-25,0,1879,1879,1,25,USA
Glenn Charles,1947-10-04,7,1975,1982,10,4,USA
Herbert Loren,1928-04-14,2,1948,1950,4,14,USA
Joseph Edward,1877-10-28,0,1902,1902,10,28,USA
Joel Lee,1971-07-02,2,1996,1998,7,2,USA
Karl Tutwiler,1891-08-11,1,1914,1915,8,11,USA
Lane Weston,1989-11-13,4,2014,2018,11,13,USA
Matthew James,1988-08-31,7,2012,2019,8,31,USA
John Michael,1947-09-13,2,1967,1969,9,13,USA
Robert Michael,1948-07-24,6,1972,1978,7,24,USA
Jon Michael,1978-07-29,10,2004,2014,7,29,USA
Charles Dwight,1921-10-07,0,1946,1946,10,7,USA
Reuben Alexander,1878-12-24,0,1905,1905,12,24,USA
Ricky Lee,1959-01-21,3,1982,1985,1,21,USA
Russ Moore,1980-08-30,5,2004,2009,8,30,USA
Ryan Scott,1987-04-21,0,2011,2011,4,21,USA
Earl John,1894-08-26,12,1922,1934,8,26,USA
Spencer Dewey,1898-06-21,4,1923,1927,6,21,USA
Terry Wayne,1973-03-06,10,1995,2005,3,6,USA
James Irvin,1890-09-27,7,1912,1919,9,27,USA
William Edward,1972-10-08,1,1996,1997,10,8,USA
Joseph Wilbur,1927-10-30,16,1950,1966,10,30,USA
Nathan Masler,1988-02-25,4,2011,2015,2,25,USA
Robert Gordon,1925-11-06,3,1950,1953,11,6,USA
James David,1959-08-09,6,1983,1989,8,9,USA
Jim Charles,1985-05-15,6,2013,2019,5,15,CAN
Nicholas James,1986-08-24,1,2008,2009,8,24,USA
