player,birthday,yrs
Dan Anderson,1951-01-01,2
Chris Anstey,1975-01-01,3
Jim Browne,1930-01-01,2
Leroy Combs,1961-01-01,1
Rick Darnell,1953-01-01,1
Glen Davis,1986-01-01,8
Travis Grant,1950-01-01,4
Jimmy Jones,1945-01-01,10
Steven Kramer,1945-01-01,3
Ronnie Lester,1959-01-01,6
John Logan,1921-01-01,5
Bones McKinney,1919-01-01,6
Mike Mitchell,1956-01-01,10
Larry Nance,1993-01-01,5
Glen Rice,1991-01-01,2
Tony Robertson,1956-01-01,2
Samuel Robinson,1948-01-01,2
Al Sanders,1950-01-01,1
Alan Sawyer,1928-01-01,1
Tiago Splitter,1985-01-01,7
Jeff Taylor,1960-01-01,2
Jonah Bolden,1996-01-02,2
Bob Feerick,1920-01-02,4
Gerald Govan,1942-01-02,9
Luke Harangody,1988-01-02,2
Kirk Hinrich,1981-01-02,13
Ed Manning,1944-01-02,9
Randolph Morris,1986-01-02,4
Mike Newlin,1949-01-02,11
Irving Thomas,1966-01-02,1
Chris Welp,1964-01-02,3
Michael Young,1961-01-02,3
Jay Edwards,1969-01-03,1
Tony Farmer,1970-01-03,2
Rondae Hollis-Jefferson,1995-01-03,5
Buck Johnson,1964-01-03,7
Linas Kleiza,1985-01-03,7
Bobby Lloyd,1946-01-03,2
Don May,1946-01-03,7
Doug McDermott,1992-01-03,6
George McLeod,1931-01-03,1
Paul Mokeski,1957-01-03,12
Darius Morris,1991-01-03,4
Fritz Nagy,1924-01-03,1
Nikola Peković,1986-01-03,6
Jake Pelkington,1916-01-03,1
Melvin Sanders,1981-01-03,1
Dick Schulz,1917-01-03,4
Cedric Simmons,1986-01-03,3
Mel Bennett,1955-01-04,5
Corie Blount,1969-01-04,11
Will Bynum,1983-01-04,8
Fred Cofield,1962-01-04,2
Terry Crosby,1957-01-04,1
Sidney Green,1961-01-04,10
Al Jefferson,1985-01-04,14
Joe Kleine,1962-01-04,15
Wayne Kreklow,1957-01-04,1
Cliff Levingston,1961-01-04,11
James Michael McAdoo,1993-01-04,4
Scott Meents,1964-01-04,2
Jim Rowinski,1961-01-04,2
Collin Sexton,1999-01-04,2
Ante Žižić,1997-01-04,3
Richard Clark,1944-01-05,2
Walt Davis,1931-01-05,5
Nate DeLong,1926-01-05,1
Alex English*,1954-01-05,15
Butch Graves,1962-01-05,1
Isaac Humphries,1998-01-05,1
Jack Kiley,1929-01-05,2
Eric Mika,1995-01-05,1
Rick Mount,1947-01-05,5
George Munroe,1922-01-05,2
Tony Price,1957-01-05,1
Miroslav Raduljica,1988-01-05,2
Malachi Richardson,1996-01-05,3
Tyler Ulis,1996-01-05,3
Gilbert Arenas,1982-01-06,11
Will Barton,1991-01-06,8
Pat Connaughton,1993-01-06,5
Paul Grant,1974-01-06,2
Cecil Hankins,1922-01-06,2
Sean Kilpatrick,1990-01-06,4
