month_number,month_name,day_of_month,day_of_year,births
1,January,1,1,17
1,January,2,2,23
1,January,3,3,29
1,January,4,4,25
1,January,5,5,35
1,January,6,6,23
1,January,7,7,27
1,January,8,8,29
1,January,9,9,20
1,January,10,10,28
1,January,11,11,21
1,January,12,12,28
1,January,13,13,23
1,January,14,14,28
1,January,15,15,26
1,January,16,16,26
1,January,17,17,32
1,January,18,18,28
1,January,19,19,24
1,January,20,20,19
1,January,21,21,31
1,January,22,22,19
1,January,23,23,25
1,January,24,24,23
1,January,25,25,21
1,January,26,26,22
1,January,27,27,23
1,January,28,28,24
1,January,29,29,21
1,January,30,30,23
1,January,31,31,24
2,February,1,32,30
2,February,2,33,26
2,February,3,34,23
2,February,4,35,22
2,February,5,36,18
2,February,6,37,20
2,February,7,38,23
2,February,8,39,17
2,February,9,40,25
2,February,10,41,32
2,February,11,42,24
2,February,12,43,37
2,February,13,44,30
2,February,14,45,18
2,February,15,46,24
2,February,16,47,28
2,February,17,48,25
2,February,18,49,26
2,February,19,50,24
2,February,20,51,23
2,February,21,52,24
2,February,22,53,28
2,February,23,54,19
2,February,24,55,23
2,February,25,56,30
2,February,26,57,24
2,February,27,58,14
2,February,28,59,23
2,February,29,60,6
3,March,1,61,21
3,March,2,62,22
3,March,3,63,24
3,March,4,64,27
3,March,5,65,29
3,March,6,66,15
3,March,7,67,26
3,March,8,68,29
3,March,9,69,25
3,March,10,70,23
3,March,11,71,20
3,March,12,72,32
3,March,13,73,23
3,March,14,74,20
3,March,15,75,30
3,March,16,76,25
3,March,17,77,17
3,March,18,78,22
3,March,19,79,20
3,March,20,80,27
3,March,21,81,23
3,March,22,82,28
3,March,23,83,21
3,March,24,84,25
3,March,25,85,25
3,March,26,86,25
3,March,27,87,31
3,March,28,88,19
3,March,29,89,19
3,March,30,90,18
3,March,31,91,18
4,April,1,92,22
4,April,2,93,26
4,April,3,94,33
4,April,4,95,29
4,April,5,96,20
4,April,6,97,24
4,April,7,98,22
4,April,8,99,30
4,April,9,100,22
4,April,10,101,29
4,April,11,102,26
4,April,12,103,31
4,April,13,104,13
4,April,14,105,35
4,April,15,106,21
4,April,16,107,26
4,April,17,108,16
4,April,18,109,26
4,April,19,110,26
4,April,20,111,29
4,April,21,112,27
4,April,22,113,19
4,April,23,114,11
4,April,24,115,19
4,April,25,116,28
4,April,26,117,27
4,April,27,118,19
4,April,28,119,26
4,April,29,120,30
4,April,30,121,15
5,May,1,122,18
5,May,2,123,13
5,May,3,124,20
5,May,4,125,23
5,May,5,126,19
5,May,6,127,20
5,May,7,128,13
5,May,8,129,12
5,May,9,130,31
5,May,10,131,23
5,May,11,132,24
5,May,12,133,28
5,May,13,134,31
5,May,14,135,23
5,May,15,136,24
5,May,16,137,25
