month_number,month_name,day_of_month,day_of_year,births
1,January,1,1,21
1,January,2,2,11
1,January,3,3,17
1,January,4,4,15
1,January,5,5,14
1,January,6,6,10
1,January,7,7,12
1,January,8,8,16
1,January,9,9,10
1,January,10,10,7
1,January,11,11,13
1,January,12,12,12
1,January,13,13,9
1,January,14,14,12
1,January,15,15,17
1,January,16,16,13
1,January,17,17,10
1,January,18,18,8
1,January,19,19,14
1,January,20,20,13
1,January,21,21,13
1,January,22,22,13
1,January,23,23,10
1,January,24,24,8
1,January,25,25,14
1,January,26,26,15
1,January,27,27,12
1,January,28,28,14
1,January,29,29,12
1,January,30,30,18
1,January,31,31,18
2,February,1,32,17
2,February,2,33,17
2,February,3,34,11
2,February,4,35,13
2,February,5,36,14
2,February,6,37,13
2,February,7,38,21
2,February,8,39,16
2,February,9,40,14
2,February,10,41,16
2,February,11,42,15
2,February,12,43,12
2,February,13,44,12
2,February,14,45,14
2,February,15,46,9
2,February,16,47,13
2,February,17,48,11
2,February,18,49,17
2,February,19,50,17
2,February,20,51,9
2,February,21,52,6
2,February,22,53,24
2,February,23,54,17
2,February,24,55,8
2,February,25,56,19
2,February,26,57,12
2,February,27,58,15
2,February,28,59,14
2,February,29,60,3
3,March,1,61,13
3,March,2,62,8
3,March,3,63,11
3,March,4,64,10
3,March,5,65,18
3,March,6,66,17
3,March,7,67,14
3,March,8,68,9
3,March,9,69,15
3,March,10,70,18
3,March,11,71,16
3,March,12,72,15
3,March,13,73,12
3,March,14,74,15
3,March,15,75,7
3,March,16,76,11
3,March,17,77,12
3,March,18,78,20
3,March,19,79,15
3,March,20,80,15
3,March,21,81,14
3,March,22,82,17
3,March,23,83,16
3,March,24,84,10
3,March,25,85,20
3,March,26,86,13
3,March,27,87,9
3,March,28,88,22
3,March,29,89,16
3,March,30,90,7
3,March,31,91,11
4,April,1,92,16
4,April,2,93,12
4,April,3,94,18
4,April,4,95,14
4,April,5,96,12
4,April,6,97,8
4,April,7,98,8
4,April,8,99,11
4,April,9,100,17
4,April,10,101,10
4,April,11,102,10
4,April,12,103,9
4,April,13,104,20
4,April,14,105,6
4,April,15,106,13
4,April,16,107,14
4,April,17,108,17
4,April,18,109,17
4,April,19,110,13
4,April,20,111,6
4,April,21,112,12
4,April,22,113,17
4,April,23,114,6
4,April,24,115,7
4,April,25,116,11
4,April,26,117,15
4,April,27,118,6
4,April,28,119,15
4,April,29,120,7
4,April,30,121,12
5,May,1,122,15
5,May,2,123,13
5,May,3,124,9
5,May,4,125,12
5,May,5,126,16
5,May,6,127,14
5,May,7,128,15
5,May,8,129,11
5,May,9,130,15
5,May,10,131,14
5,May,11,132,8
5,May,12,133,11
5,May,13,134,12
5,May,14,135,8
5,May,15,136,15
5,May,16,137,10
5,May,17,138,17
5,May,18,139,13
5,May,19,140,11
5,May,20,141,14
5,May,21,142,11
5,May,22,143,18
5,May,23,144,10
5,May,24,145,14
5,May,25,146,10
5,May,26,147,11
5,May,27,148,16
5,May,28,149,7
5,May,29,150,15
5,May,30,151,11
5,May,31,152,13
6,June,1,153,13
6,June,2,154,11
6,June,3,155,10
6,June,4,156,10
6,June,5,157,15
6,June,6,158,12
6,June,7,159,14
6,June,8,160,13
6,June,9,161,9
6,June,10,162,15
6,June,11,163,14
6,June,12,164,17
6,June,13,165,14
6,June,14,166,14
6,June,15,167,12
