month_number,month_name,day_of_month,day_of_year,births
1,January,1,1,105
1,January,2,2,76
1,January,3,3,74
1,January,4,4,88
1,January,5,5,75
1,January,6,6,75
1,January,7,7,76
1,January,8,8,73
1,January,9,9,76
1,January,10,10,82
1,January,11,11,77
1,January,12,12,75
1,January,13,13,72
1,January,14,14,83
1,January,15,15,91
1,January,16,16,77
1,January,17,17,86
1,January,18,18,88
1,January,19,19,77
1,January,20,20,87
1,January,21,21,82
1,January,22,22,83
1,January,23,23,86
1,January,24,24,76
1,January,25,25,92
1,January,26,26,86
1,January,27,27,77
1,January,28,28,67
1,January,29,29,79
1,January,30,30,82
1,January,31,31,79
2,February,1,32,79
2,February,2,33,82
2,February,3,34,78
2,February,4,35,72
2,February,5,36,80
2,February,6,37,76
2,February,7,38,68
2,February,8,39,79
2,February,9,40,71
2,February,10,41,94
2,February,11,42,76
2,February,12,43,79
2,February,13,44,75
2,February,14,45,106
2,February,15,46,85
2,February,16,47,87
2,February,17,48,83
2,February,18,49,72
2,February,19,50,67
2,February,20,51,67
2,February,21,52,73
2,February,22,53,82
2,February,23,54,86
2,February,24,55,86
2,February,25,56,87
2,February,26,57,86
2,February,27,58,79
2,February,28,59,96
2,February,29,60,18
3,March,1,61,78
3,March,2,62,81
3,March,3,63,81
3,March,4,64,80
3,March,5,65,71
3,March,6,66,81
3,March,7,67,88
3,March,8,68,69
3,March,9,69,75
3,March,10,70,86
3,March,11,71,80
3,March,12,72,84
3,March,13,73,77
3,March,14,74,64
3,March,15,75,87
3,March,16,76,82
3,March,17,77,82
3,March,18,78,82
3,March,19,79,86
3,March,20,80,76
3,March,21,81,88
3,March,22,82,80
3,March,23,83,61
3,March,24,84,65
3,March,25,85,65
3,March,26,86,67
3,March,27,87,81
3,March,28,88,87
3,March,29,89,73
3,March,30,90,72
3,March,31,91,79
4,April,1,92,59
4,April,2,93,76
4,April,3,94,65
4,April,4,95,75
4,April,5,96,67
4,April,6,97,80
4,April,7,98,67
4,April,8,99,79
4,April,9,100,71
4,April,10,101,69
4,April,11,102,74
4,April,12,103,76
4,April,13,104,72
4,April,14,105,66
4,April,15,106,80
4,April,16,107,66
4,April,17,108,68
4,April,18,109,72
4,April,19,110,76
4,April,20,111,62
4,April,21,112,70
4,April,22,113,76
4,April,23,114,70
4,April,24,115,65
4,April,25,116,59
4,April,26,117,89
4,April,27,118,87
4,April,28,119,70
4,April,29,120,61
4,April,30,121,74
5,May,1,122,70
5,May,2,123,71
5,May,3,124,66
5,May,4,125,79
5,May,5,126,92
5,May,6,127,70
5,May,7,128,72
5,May,8,129,78
5,May,9,130,82
5,May,10,131,78
5,May,11,132,61
5,May,12,133,61
5,May,13,134,57
5,May,14,135,61
5,May,15,136,68
5,May,16,137,67
5,May,17,138,77
5,May,18,139,75
5,May,19,140,74
5,May,20,141,62
5,May,21,142,72
5,May,22,143,69
5,May,23,144,66
5,May,24,145,63
5,May,25,146,74
5,May,26,147,62
5,May,27,148,68
5,May,28,149,74
5,May,29,150,58
5,May,30,151,71
5,May,31,152,73
6,June,1,153,67
6,June,2,154,66
6,June,3,155,54
6,June,4,156,78
6,June,5,157,63
6,June,6,158,75
6,June,7,159,48
6,June,8,160,59
6,June,9,161,74
6,June,10,162,72
6,June,11,163,68
6,June,12,164,63
6,June,13,165,62
6,June,14,166,99
6,June,15,167,69
6,June,16,168,70
6,June,17,169,80
6,June,18,170,74
6,June,19,171,73
6,June,20,172,78
6,June,21,173,81
6,June,22,174,66
6,June,23,175,93
6,June,24,176,73
6,June,25,177,60
6,June,26,178,58
6,June,27,179,71
6,June,28,180,72
6,June,29,181,74
6,June,30,182,60
7,July,1,183,88
7,July,2,184,76
7,July,3,185,78
7,July,4,186,57
7,July,5,187,67
7,July,6,188,76
7,July,7,189,77
7,July,8,190,67
7,July,9,191,70
7,July,10,192,82
7,July,11,193,79
7,July,12,194,89
7,July,13,195,53
7,July,14,196,75
7,July,15,197,68
7,July,16,198,69
7,July,17,199,82
7,July,18,200,74
7,July,19,201,67
7,July,20,202,63
7,July,21,203,83
7,July,22,204,65
7,July,23,205,72
7,July,24,206,90
7,July,25,207,87
7,July,26,208,76
7,July,27,209,71
7,July,28,210,87
7,July,29,211,59
7,July,30,212,74
7,July,31,213,74
8,August,1,214,64
8,August,2,215,58
8,August,3,216,77
8,August,4,217,75
8,August,5,218,68
8,August,6,219,69
8,August,7,220,78
8,August,8,221,85
8,August,9,222,94
8,August,10,223,78
8,August,11,224,74
