month_number,month_name,day_of_month,day_of_year,births
1,January,1,1,104
1,January,2,2,75
1,January,3,3,75
1,January,4,4,85
1,January,5,5,77
1,January,6,6,76
1,January,7,7,75
1,January,8,8,76
1,January,9,9,78
1,January,10,10,84
1,January,11,11,78
1,January,12,12,77
1,January,13,13,72
1,January,14,14,83
1,January,15,15,91
1,January,16,16,78
1,January,17,17,85
1,January,18,18,84
1,January,19,19,74
1,January,20,20,87
1,January,21,21,81
1,January,22,22,82
1,January,23,23,86
1,January,24,24,75
1,January,25,25,93
1,January,26,26,87
1,January,27,27,79
1,January,28,28,67
1,January,29,29,77
1,January,30,30,81
1,January,31,31,78
2,February,1,32,81
2,February,2,33,80
2,February,3,34,77
2,February,4,35,72
2,February,5,36,78
2,February,6,37,76
2,February,7,38,68
2,February,8,39,81
2,February,9,40,71
2,February,10,41,97
2,February,11,42,75
2,February,12,43,80
2,February,13,44,75
2,February,14,45,103
2,February,15,46,85
2,February,16,47,87
2,February,17,48,83
2,February,18,49,74
2,February,19,50,68
2,February,20,51,66
2,February,21,52,73
2,February,22,53,81
2,February,23,54,87
2,February,24,55,87
2,February,25,56,86
2,February,26,57,83
2,February,27,58,79
2,February,28,59,94
2,February,29,60,20
3,March,1,61,79
3,March,2,62,81
3,March,3,63,81
3,March,4,64,77
3,March,5,65,71
3,March,6,66,82
3,March,7,67,88
3,March,8,68,70
3,March,9,69,73
3,March,10,70,80
3,March,11,71,78
3,March,12,72,86
3,March,13,73,78
3,March,14,74,64
3,March,15,75,88
3,March,16,76,86
3,March,17,77,82
3,March,18,78,81
3,March,19,79,87
3,March,20,80,76
3,March,21,81,88
3,March,22,82,80
3,March,23,83,60
3,March,24,84,66
3,March,25,85,62
3,March,26,86,72
3,March,27,87,80
3,March,28,88,88
3,March,29,89,73
3,March,30,90,74
3,March,31,91,78
4,April,1,92,53
4,April,2,93,73
4,April,3,94,68
4,April,4,95,74
4,April,5,96,67
4,April,6,97,80
4,April,7,98,66
4,April,8,99,77
4,April,9,100,73
4,April,10,101,69
4,April,11,102,72
4,April,12,103,75
4,April,13,104,70
4,April,14,105,63
4,April,15,106,83
4,April,16,107,66
4,April,17,108,68
4,April,18,109,75
4,April,19,110,72
4,April,20,111,61
4,April,21,112,72
4,April,22,113,75
4,April,23,114,69
4,April,24,115,63
4,April,25,116,58
4,April,26,117,90
4,April,27,118,87
4,April,28,119,71
4,April,29,120,58
4,April,30,121,76
5,May,1,122,70
5,May,2,123,71
5,May,3,124,66
5,May,4,125,77
5,May,5,126,92
5,May,6,127,73
5,May,7,128,73
5,May,8,129,77
5,May,9,130,82
5,May,10,131,78
5,May,11,132,59
5,May,12,133,60
5,May,13,134,58
5,May,14,135,61
5,May,15,136,67
5,May,16,137,66
5,May,17,138,75
5,May,18,139,75
5,May,19,140,73
5,May,20,141,64
5,May,21,142,71
5,May,22,143,72
5,May,23,144,67
5,May,24,145,61
5,May,25,146,73
5,May,26,147,62
5,May,27,148,68
5,May,28,149,73
5,May,29,150,59
5,May,30,151,72
5,May,31,152,71
6,June,1,153,68
6,June,2,154,68
6,June,3,155,54
6,June,4,156,77
6,June,5,157,64
6,June,6,158,75
6,June,7,159,47
6,June,8,160,59
6,June,9,161,73
6,June,10,162,69
6,June,11,163,69
6,June,12,164,63
6,June,13,165,62
6,June,14,166,96
6,June,15,167,72
6,June,16,168,68
6,June,17,169,81
6,June,18,170,77
6,June,19,171,73
6,June,20,172,80
6,June,21,173,80
6,June,22,174,68
6,June,23,175,89
6,June,24,176,72
6,June,25,177,59
6,June,26,178,59
6,June,27,179,71
6,June,28,180,72
6,June,29,181,76
6,June,30,182,60
7,July,1,183,86
7,July,2,184,77
7,July,3,185,76
7,July,4,186,58
7,July,5,187,69
7,July,6,188,73
7,July,7,189,75
7,July,8,190,67
7,July,9,191,70
7,July,10,192,83
7,July,11,193,78
7,July,12,194,89
7,July,13,195,55
7,July,14,196,75
7,July,15,197,69
7,July,16,198,68
7,July,17,199,79
7,July,18,200,73
7,July,19,201,68
7,July,20,202,64
7,July,21,203,83
7,July,22,204,64
7,July,23,205,72
7,July,24,206,89
7,July,25,207,85
