month_number,month_name,day_of_month,day_of_year,births
1,January,1,1,31
1,January,2,2,29
1,January,3,3,39
1,January,4,4,22
1,January,5,5,31
1,January,6,6,28
1,January,7,7,35
1,January,8,8,20
1,January,9,9,27
1,January,10,10,21
1,January,11,11,23
1,January,12,12,32
1,January,13,13,27
1,January,14,14,23
1,January,15,15,23
1,January,16,16,21
1,January,17,17,21
1,January,18,18,26
1,January,19,19,24
1,January,20,20,27
1,January,21,21,29
1,January,22,22,27
1,January,23,23,23
1,January,24,24,20
1,January,25,25,27
1,January,26,26,26
1,January,27,27,20
1,January,28,28,25
1,January,29,29,37
1,January,30,30,35
1,January,31,31,24
2,February,1,32,28
2,February,2,33,28
2,February,3,34,26
2,February,4,35,32
2,February,5,36,19
2,February,6,37,20
2,February,7,38,36
2,February,8,39,24
2,February,9,40,20
2,February,10,41,16
2,February,11,42,31
2,February,12,43,28
2,February,13,44,23
2,February,14,45,36
2,February,15,46,32
2,February,16,47,34
2,February,17,48,29
2,February,18,49,32
2,February,19,50,24
2,February,20,51,27
2,February,21,52,29
2,February,22,53,32
2,February,23,54,17
2,February,24,55,21
2,February,25,56,37
2,February,26,57,25
2,February,27,58,26
2,February,28,59,31
2,February,29,60,9
3,March,1,61,36
3,March,2,62,28
3,March,3,63,25
3,March,4,64,22
3,March,5,65,18
3,March,6,66,29
3,March,7,67,30
3,March,8,68,21
3,March,9,69,24
3,March,10,70,20
3,March,11,71,27
3,March,12,72,23
3,March,13,73,23
3,March,14,74,17
3,March,15,75,27
3,March,16,76,26
3,March,17,77,29
3,March,18,78,25
3,March,19,79,19
3,March,20,80,17
3,March,21,81,24
3,March,22,82,26
3,March,23,83,40
3,March,24,84,19
3,March,25,85,25
3,March,26,86,27
3,March,27,87,14
3,March,28,88,33
3,March,29,89,29
3,March,30,90,32
3,March,31,91,30
4,April,1,92,26
4,April,2,93,19
4,April,3,94,24
4,April,4,95,28
4,April,5,96,18
4,April,6,97,31
4,April,7,98,24
4,April,8,99,22
4,April,9,100,23
4,April,10,101,25
4,April,11,102,24
4,April,12,103,31
4,April,13,104,26
4,April,14,105,25
4,April,15,106,33
4,April,16,107,24
4,April,17,108,24
4,April,18,109,17
4,April,19,110,20
4,April,20,111,29
4,April,21,112,23
4,April,22,113,26
4,April,23,114,28
4,April,24,115,28
4,April,25,116,20
4,April,26,117,20
4,April,27,118,27
4,April,28,119,28
4,April,29,120,30
4,April,30,121,30
5,May,1,122,26
5,May,2,123,18
5,May,3,124,32
5,May,4,125,24
5,May,5,126,28
5,May,6,127,22
5,May,7,128,22
5,May,8,129,22
5,May,9,130,28
5,May,10,131,19
5,May,11,132,33
5,May,12,133,26
5,May,13,134,29
5,May,14,135,18
5,May,15,136,27
5,May,16,137,20
5,May,17,138,18
5,May,18,139,31
5,May,19,140,24
5,May,20,141,19
5,May,21,142,24
5,May,22,143,16
5,May,23,144,19
5,May,24,145,28
5,May,25,146,24
5,May,26,147,17
5,May,27,148,23
5,May,28,149,31
5,May,29,150,23
5,May,30,151,19
5,May,31,152,24
6,June,1,153,32
6,June,2,154,26
6,June,3,155,23
6,June,4,156,20
6,June,5,157,22
6,June,6,158,26
6,June,7,159,19
6,June,8,160,25
6,June,9,161,18
6,June,10,162,18
6,June,11,163,16
6,June,12,164,16
6,June,13,165,21
6,June,14,166,26
6,June,15,167,24
6,June,16,168,25
6,June,17,169,28
6,June,18,170,22
6,June,19,171,13
6,June,20,172,23
6,June,21,173,23
6,June,22,174,20
6,June,23,175,17
6,June,24,176,21
6,June,25,177,25
6,June,26,178,13
6,June,27,179,21
6,June,28,180,20
6,June,29,181,19
6,June,30,182,24
7,July,1,183,23
7,July,2,184,16
7,July,3,185,19
7,July,4,186,21
7,July,5,187,22
7,July,6,188,21
7,July,7,189,16
7,July,8,190,27
7,July,9,191,19
7,July,10,192,18
7,July,11,193,25
7,July,12,194,20
7,July,13,195,19
7,July,14,196,16
7,July,15,197,22
7,July,16,198,18
7,July,17,199,25
7,July,18,200,18
7,July,19,201,18
7,July,20,202,23
7,July,21,203,16
7,July,22,204,23
7,July,23,205,23
7,July,24,206,23
7,July,25,207,24
7,July,26,208,23
7,July,27,209,26
7,July,28,210,28
7,July,29,211,26
7,July,30,212,18
7,July,31,213,22
8,August,1,214,20
8,August,2,215,16
8,August,3,216,14
8,August,4,217,11
8,August,5,218,18
8,August,6,219,12
8,August,7,220,9
8,August,8,221,20
8,August,9,222,22
8,August,10,223,23
8,August,11,224,21
8,August,12,225,24
8,August,13,226,28
8,August,14,227,14
8,August,15,228,24
8,August,16,229,20
8,August,17,230,21
8,August,18,231,12
8,August,19,232,16
8,August,20,233,20
8,August,21,234,19
8,August,22,235,15
8,August,23,236,12
8,August,24,237,25
8,August,25,238,20
8,August,26,239,17
8,August,27,240,23
8,August,28,241,15
8,August,29,242,20
8,August,30,243,16
8,August,31,244,23
9,September,1,245,20
9,September,2,246,24
9,September,3,247,23
9,September,4,248,22
9,September,5,249,19
9,September,6,250,15
9,September,7,251,26
9,September,8,252,17
9,September,9,253,13
9,September,10,254,21
9,September,11,255,25
9,September,12,256,16
9,September,13,257,22
9,September,14,258,20
9,September,15,259,22
9,September,16,260,21
9,September,17,261,25
9,September,18,262,24
9,September,19,263,22
9,September,20,264,19
9,September,21,265,19
9,September,22,266,20
9,September,23,267,20
9,September,24,268,16
9,September,25,269,17
9,September,26,270,23
9,September,27,271,18
9,September,28,272,20
9,September,29,273,25
9,September,30,274,10
10,October,1,275,24
10,October,2,276,33
10,October,3,277,20
10,October,4,278,15
10,October,5,279,22
10,October,6,280,25
10,October,7,281,19
10,October,8,282,16
10,October,9,283,24
10,October,10,284,24
10,October,11,285,20
10,October,12,286,18
10,October,13,287,17
10,October,14,288,21
10,October,15,289,13
10,October,16,290,17
10,October,17,291,14
10,October,18,292,18
10,October,19,293,16
10,October,20,294,16
10,October,21,295,11
10,October,22,296,19
10,October,23,297,10
10,October,24,298,16
10,October,25,299,15
10,October,26,300,14
10,October,27,301,21
10,October,28,302,17
10,October,29,303,27
10,October,30,304,23
10,October,31,305,23
11,November,1,306,19
11,November,2,307,20
11,November,3,308,18
11,November,4,309,19
11,November,5,310,23
11,November,6,311,19
11,November,7,312,17
11,November,8,313,14
11,November,9,314,13
11,November,10,315,23
11,November,11,316,15
11,November,12,317,20
11,November,13,318,19
11,November,14,319,17
11,November,15,320,12
11,November,16,321,15
11,November,17,322,10
11,November,18,323,16
11,November,19,324,22
11,November,20,325,13
11,November,21,326,17
11,November,22,327,12
11,November,23,328,14
11,November,24,329,24
11,November,25,330,18
11,November,26,331,14
11,November,27,332,17
11,November,28,333,17
11,November,29,334,26
11,November,30,335,19
12,December,1,336,25
12,December,2,337,24
12,December,3,338,14
12,December,4,339,19
12,December,5,340,19
12,December,6,341,16
12,December,7,342,18
12,December,8,343,16
12,December,9,344,21
12,December,10,345,15
12,December,11,346,17
12,December,12,347,26
12,December,13,348,17
12,December,14,349,17
12,December,15,350,10
12,December,16,351,11
12,December,17,352,15
12,December,18,353,16
12,December,19,354,19
12,December,20,355,18
12,December,21,356,14
12,December,22,357,15
12,December,23,358,20
12,December,24,359,13
12,December,25,360,13
12,December,26,361,12
12,December,27,362,14
12,December,28,363,21
12,December,29,364,19
12,December,30,365,15
12,December,31,366,19
