month_number,month_name,day_of_month,day_of_year,births
1,January,1,1,164362
1,January,2,2,196481
1,January,3,3,228259
1,January,4,4,232354
1,January,5,5,230826
1,January,6,6,229776
1,January,7,7,230233
1,January,8,8,223766
1,January,9,9,224116
1,January,10,10,232521
1,January,11,11,231414
1,January,12,12,230499
1,January,13,13,223803
1,January,14,14,231343
1,January,15,15,222374
1,January,16,16,224055
1,January,17,17,230038
1,January,18,18,229465
1,January,19,19,225387
1,January,20,20,228138
1,January,21,21,228190
1,January,22,22,225098
1,January,23,23,229163
1,January,24,24,233021
1,January,25,25,230897
1,January,26,26,228394
1,January,27,27,228012
1,January,28,28,228365
1,January,29,29,222831
1,January,30,30,226669
1,January,31,31,229472
2,February,1,32,230364
2,February,2,33,230984
2,February,3,34,228433
2,February,4,35,229815
2,February,5,36,225276
2,February,6,37,227576
2,February,7,38,235078
2,February,8,39,233186
2,February,9,40,229501
2,February,10,41,232075
2,February,11,42,232129
2,February,12,43,229853
2,February,13,44,223590
2,February,14,45,245412
2,February,15,46,235803
2,February,16,47,230634
2,February,17,48,228667
2,February,18,49,230532
2,February,19,50,224904
2,February,20,51,229574
2,February,21,52,232134
2,February,22,53,234170
2,February,23,54,230208
2,February,24,55,229723
2,February,25,56,231342
2,February,26,57,226182
2,February,27,58,228866
2,February,28,59,233125
2,February,29,60,52561
3,March,1,61,234495
3,March,2,62,227660
3,March,3,63,233405
3,March,4,64,231560
3,March,5,65,231388
3,March,6,66,230287
3,March,7,67,233850
3,March,8,68,231350
3,March,9,69,226813
3,March,10,70,230444
3,March,11,71,230308
3,March,12,72,232001
3,March,13,73,224642
3,March,14,74,234368
3,March,15,75,232129
3,March,16,76,226912
3,March,17,77,234700
3,March,18,78,230793
3,March,19,79,230048
3,March,20,80,232226
3,March,21,81,235883
3,March,22,82,231059
3,March,23,83,226193
3,March,24,84,229992
3,March,25,85,231202
3,March,26,86,229546
3,March,27,87,229682
3,March,28,88,232864
3,March,29,89,229032
3,March,30,90,225599
3,March,31,91,226937
4,April,1,92,217042
4,April,2,93,232037
4,April,3,94,229823
4,April,4,95,236536
4,April,5,96,229626
4,April,6,97,224055
4,April,7,98,228673
4,April,8,99,229415
4,April,9,100,228334
4,April,10,101,228294
4,April,11,102,233219
4,April,12,103,230877
4,April,13,104,218741
4,April,14,105,227723
4,April,15,106,229306
4,April,16,107,229950
4,April,17,108,229783
4,April,18,109,231942
4,April,19,110,229650
4,April,20,111,225694
4,April,21,112,227759
4,April,22,113,229100
4,April,23,114,228914
4,April,24,115,228662
4,April,25,116,231879
4,April,26,117,229337
4,April,27,118,224583
4,April,28,119,227450
4,April,29,120,226108
4,April,30,121,226221
5,May,1,122,231969
5,May,2,123,234364
5,May,3,124,229832
5,May,4,125,225674
5,May,5,126,233270
5,May,6,127,230678
5,May,7,128,230637
5,May,8,129,231046
5,May,9,130,232748
5,May,10,131,233301
5,May,11,132,226257
5,May,12,133,231981
5,May,13,134,225316
5,May,14,135,233287
5,May,15,136,235258
5,May,16,137,237933
5,May,17,138,234418
5,May,18,139,229518
5,May,19,140,231664
5,May,20,141,235846
5,May,21,142,237249
5,May,22,143,237932
5,May,23,144,243051
5,May,24,145,239490
5,May,25,146,228090
5,May,26,147,218924
5,May,27,148,225130
5,May,28,149,227501
5,May,29,150,227287
5,May,30,151,229810
5,May,31,152,225906
6,June,1,153,235157
6,June,2,154,239084
6,June,3,155,237091
6,June,4,156,236495
6,June,5,157,235350
6,June,6,158,237185
6,June,7,159,235175
6,June,8,160,232223
6,June,9,161,233388
6,June,10,162,236388
6,June,11,163,235232
6,June,12,164,236180
6,June,13,165,232756
6,June,14,166,237832
6,June,15,167,233329
6,June,16,168,237180
6,June,17,169,237136
6,June,18,170,238880
6,June,19,171,235649
6,June,20,172,242455
6,June,21,173,238105
6,June,22,174,234413
6,June,23,175,236836
6,June,24,176,238665
6,June,25,177,240324
6,June,26,178,239953
6,June,27,179,244291
6,June,28,180,243539
6,June,29,181,239117
6,June,30,182,243178
7,July,1,183,249847
7,July,2,184,249370
7,July,3,185,238398
7,July,4,186,185315
7,July,5,187,219284
7,July,6,188,241952
7,July,7,189,255094
7,July,8,190,251573
7,July,9,191,248013
7,July,10,192,247535
7,July,11,193,248795
7,July,12,194,243781
7,July,13,195,235506
7,July,14,196,246041
7,July,15,197,247664
7,July,16,198,247971
7,July,17,199,247176
7,July,18,200,248220
7,July,19,201,243356
7,July,20,202,240779
7,July,21,203,245725
7,July,22,204,246258
7,July,23,205,246627
7,July,24,206,244732
7,July,25,207,247864
7,July,26,208,243962
7,July,27,209,240397
7,July,28,210,244548
7,July,29,211,244166
7,July,30,212,244491
7,July,31,213,242844
8,August,1,214,248312
8,August,2,215,244201
8,August,3,216,238714
8,August,4,217,243696
8,August,5,218,244646
8,August,6,219,244227
8,August,7,220,244395
8,August,8,221,252122
8,August,9,222,246993
8,August,10,223,242075
8,August,11,224,244532
8,August,12,225,247596
8,August,13,226,241760
8,August,14,227,246621
8,August,15,228,251448
8,August,16,229,248450
8,August,17,230,243341
8,August,18,231,246091
