player,birthday,yrs,from,to,team
John Aiken,1932-01-01,0,1958,1958,MTL
Murray Armstrong,1916-01-01,8,1938,1946,"TOR,NYA,BRO,DET"
Ossie Aubuchon,1917-01-01,1,1943,1944,"BOS,NYR"
Gilbert Brule,1987-01-01,8,2006,2014,"CBJ,EDM,PHX"
Jeff Carter,1985-01-01,14,2006,2020,"PHI,CBJ,LAK"
Les Colwill,1935-01-01,0,1959,1959,NYR
Bob Falkenberg,1946-01-01,5,1967,1972,DET
Freddie Hamilton,1992-01-01,4,2014,2018,"SJS,COL,CGY,ARI"
Gerry Hart,1948-01-01,14,1969,1983,"DET,NYI,QUE,STL"
Jayce Hawryluk,1996-01-01,1,2019,2020,"FLA,OTT"
Val Hoffinger,1901-01-01,1,1928,1929,CBH
Bobby Holik,1971-01-01,18,1991,2009,"HAR,NJD,NYR,ATL"
Gary Holt,1952-01-01,4,1974,1978,"CGS,CLE,STL"
Patric Hornqvist,1987-01-01,11,2009,2020,"NSH,PIT"
Dave Hunter,1958-01-01,9,1980,1989,"EDM,PIT,WIN"
Jack Leswick,1910-01-01,0,1934,1934,CBH
Calum MacKay,1927-01-01,8,1947,1955,"DET,MTL"
Cliff McBride,1909-01-01,1,1929,1930,"MTM,TOR"
Terry McDonald,1956-01-01,0,1976,1976,KCS
Mark Olver,1988-01-01,2,2011,2013,COL
Phil Roberto,1949-01-01,7,1970,1977,"MTL,STL,DET,KCS,CLE,CLR"
Doc Romnes,1909-01-01,9,1931,1940,"CBH,TOR,NYA"
Devin Setoguchi,1987-01-01,9,2008,2017,"SJS,MIN,WPG,CGY,LAK"
Dave Silk,1958-01-01,6,1980,1986,"NYR,BOS,DET,WIN"
Jim Stanfield,1947-01-01,2,1970,1972,LAK
Barney Stanley*,1893-01-01,0,1928,1928,CBH
Urho Vaakanainen,1999-01-01,1,2019,2020,BOS
Nick Wasnie,1904-01-01,7,1928,1935,"CBH,MTL,NYA,OTS,STE"
Don Willson,1914-01-01,1,1938,1939,MTL
Ken Yaremchuk,1964-01-01,5,1984,1989,"CBH,TOR"
C.J. Young,1968-01-01,0,1993,1993,"BOS,CGY"
Yuri Babenko,1978-01-02,0,2001,2001,COL
