agedays,sex,mean,sd,cv,l
0,Female,49.1477,1.86269783,0.0379,1
1,Female,49.3166,1.8656469780000002,0.03783,1
2,Female,49.4854,1.868568704,0.03776,1
3,Female,49.6543,1.87196711,0.0377,1
4,Female,49.8232,1.874847016,0.03763,1
5,Female,49.9921,1.877703276,0.03756,1
6,Female,50.1609,1.880532141,0.03749,1
7,Female,50.3298,1.883341116,0.03742,1
8,Female,50.4987,1.8861264450000002,0.03735,1
9,Female,50.6676,1.888888128,0.03728,1
10,Female,50.8365,1.89213453,0.03722,1
11,Female,51.0053,1.8948468950000001,0.03715,1
12,Female,51.1742,1.8975393360000001,0.03708,1
13,Female,51.3431,1.900208131,0.03701,1
14,Female,51.512,1.90285328,0.03694,1
15,Female,51.651,1.9059219000000003,0.0369,1
16,Female,51.7895,1.9094788649999999,0.03687,1
17,Female,51.9272,1.9124787760000002,0.03683,1
18,Female,52.0641,1.91595888,0.0368,1
19,Female,52.2002,1.918879352,0.03676,1
20,Female,52.3353,1.9222755689999997,0.03673,1
21,Female,52.4695,1.9251059549999998,0.03669,1
22,Female,52.6027,1.9284149819999998,0.03666,1
23,Female,52.7349,1.9316793870000002,0.03663,1
24,Female,52.8661,1.9348992600000001,0.0366,1
25,Female,52.9963,1.937544728,0.03656,1
26,Female,53.1255,1.940674515,0.03653,1
27,Female,53.2537,1.9437600499999999,0.0365,1
28,Female,53.3809,1.946801423,0.03647,1
29,Female,53.5072,1.9498023679999998,0.03644,1
30,Female,53.6326,1.9527629659999997,0.03641,1
31,Female,53.7571,1.9556832980000003,0.03638,1
32,Female,53.8806,1.9590986160000001,0.03636,1
33,Female,54.0031,1.9619326230000003,0.03633,1
34,Female,54.1247,1.9647266099999998,0.0363,1
35,Female,54.2454,1.9674806579999997,0.03627,1
36,Female,54.3651,1.9707348749999998,0.03625,1
37,Female,54.4839,1.9734068580000002,0.03622,1
38,Female,54.6018,1.9760391419999999,0.03619,1
39,Female,54.7187,1.979175379,0.03617,1
40,Female,54.8348,1.981729672,0.03614,1
41,Female,54.9499,1.984790388,0.03612,1
42,Female,55.0642,1.9872669779999999,0.03609,1
43,Female,55.1777,1.990259639,0.03607,1
44,Female,55.2903,1.9926624120000003,0.03604,1
45,Female,55.4021,1.9955836420000002,0.03602,1
46,Female,55.513,1.9984679999999997,0.036,1
47,Female,55.623,2.00075931,0.03597,1
48,Female,55.7322,2.00357259,0.03595,1
49,Female,55.8406,2.006352758,0.03593,1
50,Female,55.9482,2.009099862,0.03591,1
51,Female,56.0549,2.0112498120000004,0.03588,1
