agedays,sex,mean,sd,cv,l
0,Female,3.3464,0.48864132800000004,0.14602,0.3487
1,Female,3.3174,0.487425582,0.14693,0.3127
2,Female,3.337,0.48973812000000005,0.14676,0.3029
3,Female,3.3627,0.4925346689999999,0.14647,0.2959
4,Female,3.3915,0.49553206499999997,0.14611,0.2903
5,Female,3.4223,0.498663333,0.14571,0.2855
6,Female,3.4545,0.5018697599999999,0.14528,0.2813
7,Female,3.4879,0.505152557,0.14483,0.2776
8,Female,3.5222,0.5084647919999999,0.14436,0.2742
9,Female,3.5576,0.511867488,0.14388,0.2711
10,Female,3.5941,0.515357999,0.14339,0.2681
11,Female,3.6319,0.51899851,0.1429,0.2654
12,Female,3.671,0.52278711,0.14241,0.2628
13,Female,3.7113,0.526707696,0.14192,0.2604
14,Female,3.7529,0.530735118,0.14142,0.2581
15,Female,3.7956,0.5349139079999999,0.14093,0.2558
16,Female,3.8389,0.5391351160000001,0.14044,0.2537
17,Female,3.8828,0.543436688,0.13996,0.2517
18,Female,3.927,0.54773796,0.13948,0.2497
19,Female,3.9714,0.5520246000000001,0.139,0.2478
20,Female,4.0158,0.5563087739999999,0.13853,0.246
21,Female,4.0603,0.560605621,0.13807,0.2442
22,Female,4.1046,0.564834006,0.13761,0.2425
23,Female,4.1489,0.569021635,0.13715,0.2408
24,Female,4.193,0.5731831,0.1367,0.2392
25,Female,4.2369,0.577319994,0.13626,0.2376
26,Female,4.2806,0.5813910919999999,0.13582,0.2361
27,Female,4.324,0.58542636,0.13539,0.2346
28,Female,4.3671,0.589427487,0.13497,0.2331
29,Female,4.41,0.5933655,0.13455,0.2317
30,Female,4.4525,0.597213825,0.13413,0.2303
31,Female,4.4946,0.6010179120000001,0.13372,0.229
32,Female,4.5363,0.6047795159999999,0.13332,0.2276
33,Female,4.5776,0.6084545920000001,0.13292,0.2263
34,Female,4.6185,0.6120898050000001,0.13253,0.225
35,Female,4.659,0.6156868499999999,0.13215,0.2237
36,Female,4.699,0.61918723,0.13177,0.2225
37,Female,4.7386,0.622604654,0.13139,0.2213
38,Female,4.7778,0.625987356,0.13102,0.2201
39,Female,4.8166,0.6293369560000001,0.13066,0.2189
40,Female,4.8549,0.63259347,0.1303,0.2178
41,Female,4.8928,0.635770432,0.12994,0.2166
42,Female,4.9303,0.6389668799999999,0.1296,0.2155
43,Female,4.9674,0.64203645,0.12925,0.2144
44,Female,5.0041,0.645078531,0.12891,0.2133
45,Female,5.0404,0.648094632,0.12858,0.2122
46,Female,5.0763,0.651035475,0.12825,0.2112
47,Female,5.1118,0.6539014559999999,0.12792,0.2101
48,Female,5.1469,0.6567444399999999,0.1276,0.2091
49,Female,5.1817,0.659578593,0.12729,0.2081
50,Female,5.2161,0.662340378,0.12698,0.2071
51,Female,5.2501,0.665030167,0.12667,0.2061
52,Female,5.2837,0.667701169,0.12637,0.2052
53,Female,5.3171,0.670326797,0.12607,0.2042
54,Female,5.35,0.6728694999999999,0.12577,0.2032
55,Female,5.3826,0.675408648,0.12548,0.2023
56,Female,5.4149,0.6779454800000001,0.1252,0.2014
57,Female,5.4468,0.680359788,0.12491,0.2005
58,Female,5.4784,0.682772992,0.12463,0.1996
59,Female,5.5097,0.6851862919999999,0.12436,0.1987
60,Female,5.5407,0.6875454630000001,0.12409,0.1978
61,Female,5.5714,0.689850748,0.12382,0.1969
62,Female,5.6018,0.6921584080000001,0.12356,0.196
63,Female,5.6319,0.69441327,0.1233,0.1952
64,Female,5.6617,0.6966155679999999,0.12304,0.1943
65,Female,5.6912,0.698822448,0.12279,0.1935
66,Female,5.7205,0.70099007,0.12254,0.1926
67,Female,5.7494,0.7030941259999999,0.12229,0.1918
68,Female,5.7781,0.705217105,0.12205,0.191
69,Female,5.8065,0.707289765,0.12181,0.1902
70,Female,5.8346,0.7093123219999999,0.12157,0.1894
71,Female,5.8625,0.71135575,0.12134,0.1886
72,Female,5.8901,0.7133500110000001,0.12111,0.1878
73,Female,5.9174,0.715295312,0.12088,0.187
74,Female,5.9445,0.71726337,0.12066,0.1863
75,Female,5.9713,0.719183372,0.12044,0.1855
76,Female,5.9979,0.7210675379999999,0.12022,0.1847
77,Female,6.0242000000000004,0.7229642420000001,0.12001,0.184
78,Female,6.0503,0.72482594,0.1198,0.1832
79,Female,6.0762,0.7266527580000001,0.11959,0.1825
80,Female,6.1018,0.728493902,0.11939,0.1818
81,Female,6.1272,0.7302396959999999,0.11918,0.181
82,Female,6.1523,0.732062177,0.11899,0.1803
83,Female,6.1772,0.733789588,0.11879,0.1796
84,Female,6.2019,0.73554534,0.1186,0.1789
85,Female,6.2264,0.737268024,0.11841,0.1782
86,Female,6.2507,0.7389577540000001,0.11822,0.1775
87,Female,6.2748,0.740614644,0.11803,0.1768
88,Female,6.2986,0.7422900100000001,0.11785,0.1761
89,Female,6.3223,0.743945041,0.11767,0.1754
90,Female,6.3457,0.7456197499999999,0.1175,0.1747
91,Female,6.369,0.7472110799999999,0.11732,0.174
92,Female,6.3921,0.7488345150000001,0.11715,0.1734
93,Female,6.4149,0.750415002,0.11698,0.1727
94,Female,6.4376,0.7520404319999999,0.11682,0.172
95,Female,6.4601,0.753635266,0.11666,0.1714
96,Female,6.4824,0.755134776,0.11649,0.1707
97,Female,6.5046,0.756745164,0.11634,0.1701
98,Female,6.5265,0.7582487700000001,0.11618,0.1694
99,Female,6.5483,0.759799249,0.11603,0.1688
100,Female,6.5699,0.761320012,0.11588,0.1682
101,Female,6.5914,0.762822722,0.11573,0.1675
102,Female,6.6126,0.7642843079999999,0.11558,0.1669
103,Female,6.6338,0.7658058719999999,0.11544,0.1663
104,Female,6.6547,0.76728691,0.1153,0.1657
105,Female,6.6755,0.7687505800000001,0.11516,0.1651
106,Female,6.6962,0.770196924,0.11502,0.1644
107,Female,6.7166,0.771670174,0.11489,0.1638
108,Female,6.737,0.77313812,0.11476,0.1632
109,Female,6.7572,0.774577836,0.11463,0.1626
110,Female,6.7772,0.7759893999999999,0.1145,0.162
111,Female,6.7971,0.777452298,0.11438,0.1614
112,Female,6.8168,0.7788194,0.11425,0.1609
113,Female,6.8365,0.780249745,0.11413,0.1603
114,Female,6.8559,0.781641159,0.11401,0.1597
115,Female,6.8753,0.78309667,0.1139,0.1591
116,Female,6.8945,0.78445621,0.11378,0.1585
117,Female,6.9135,0.7858575449999999,0.11367,0.158
118,Female,6.9325,0.7872547,0.11356,0.1574
119,Female,6.9513,0.788624985,0.11345,0.1568
120,Female,6.9699,0.7899684659999999,0.11334,0.1563
121,Female,6.9885,0.7913777399999999,0.11324,0.1557
122,Female,7.0069,0.792690597,0.11313,0.1551
123,Female,7.0252,0.7940583560000001,0.11303,0.1546
124,Female,7.0434,0.7954111620000001,0.11293,0.154
125,Female,7.0615,0.796749045,0.11283,0.1535
126,Female,7.0794,0.798131556,0.11274,0.1529
127,Female,7.0972,0.79949958,0.11265,0.1524
128,Female,7.1149,0.8007819949999999,0.11255,0.1519
129,Female,7.1325,0.80212095,0.11246,0.1513
130,Female,7.15,0.8034455,0.11237,0.1508
131,Female,7.1674,0.8048273459999999,0.11229,0.1502
132,Female,7.1846,0.8061121199999999,0.1122,0.1497
133,Female,7.2018,0.807465816,0.11212,0.1492
134,Female,7.2188,0.8087943519999999,0.11204,0.1487
135,Female,7.2357,0.810108972,0.11196,0.1481
136,Female,7.2525,0.8114097,0.11188,0.1476
137,Female,7.2692,0.8126965599999999,0.1118,0.1471
138,Female,7.2858,0.813969576,0.11172,0.1466
139,Female,7.3023,0.815301795,0.11165,0.1461
140,Female,7.3187,0.816620546,0.11158,0.1456
141,Female,7.335,0.8178525,0.1115,0.1451
142,Female,7.3512,0.8191442160000001,0.11143,0.1446
143,Female,7.3673,0.820496201,0.11137,0.1441
144,Female,7.3833,0.82176129,0.1113,0.1436
145,Female,7.3992000000000004,0.823013016,0.11123,0.1431
146,Female,7.415,0.8243255500000001,0.11117,0.1426
147,Female,7.4307,0.825625077,0.11111,0.1421
148,Female,7.4463,0.826837152,0.11104,0.1416
149,Female,7.4618,0.8281105639999999,0.11098,0.1411
150,Female,7.4772,0.8293710240000001,0.11092,0.1406
151,Female,7.4925,0.8306934749999999,0.11087,0.1401
152,Female,7.5077,0.8319282370000001,0.11081,0.1396
153,Female,7.5228,0.8331501,0.11075,0.1391
154,Female,7.5379,0.83444553,0.1107,0.1387
155,Female,7.5528,0.83571732,0.11065,0.1382
156,Female,7.5677,0.8369119429999999,0.11059,0.1377
157,Female,7.5824,0.8381584959999999,0.11054,0.1372
158,Female,7.5971,0.8394035790000001,0.11049,0.1368
159,Female,7.6117,0.840636148,0.11044,0.1363
160,Female,7.6262,0.84193248,0.1104,0.1358
161,Female,7.6406,0.8431402100000001,0.11035,0.1354
162,Female,7.655,0.8444230500000001,0.11031,0.1349
163,Female,7.6692,0.845605992,0.11026,0.1344
164,Female,7.6834,0.846864348,0.11022,0.134
165,Female,7.6975,0.84811055,0.11018,0.1335
166,Female,7.7115,0.8492674950000001,0.11013,0.1331
167,Female,7.7255,0.850500295,0.11009,0.1326
168,Female,7.7394,0.8517209699999999,0.11005,0.1322
169,Female,7.7532,0.853007064,0.11002,0.1317
170,Female,7.7669,0.854203662,0.10998,0.1313
171,Female,7.7805,0.85538817,0.10994,0.1308
172,Female,7.7941,0.856649531,0.10991,0.1304
173,Female,7.8076,0.8578210119999999,0.10987,0.1299
174,Female,7.821,0.8590586399999999,0.10984,0.1295
175,Female,7.8344,0.86021712,0.1098,0.129
176,Female,7.8477,0.861442029,0.10977,0.1286
177,Female,7.8609,0.862655166,0.10974,0.1282
178,Female,7.8741,0.863867511,0.10971,0.1277
179,Female,7.8871,0.865057128,0.10968,0.1273
180,Female,7.9002,0.8662569299999999,0.10965,0.1269
181,Female,7.9131,0.867434022,0.10962,0.1264
182,Female,7.926,0.86861034,0.10959,0.126
183,Female,7.9389,0.869865273,0.10957,0.1256
184,Female,7.9516,0.871018264,0.10954,0.1251
185,Female,7.9643,0.8721704929999999,0.10951,0.1247
186,Female,7.977,0.8734017300000001,0.10949,0.1243
187,Female,7.9895,0.87453067,0.10946,0.1239
188,Female,8.0021,0.875749824,0.10944,0.1235
189,Female,8.0145,0.87694659,0.10942,0.123
190,Female,8.0269,0.87814286,0.1094,0.1226
191,Female,8.0392,0.8792473039999998,0.10937,0.1222
192,Female,8.0515,0.8804315250000001,0.10935,0.1218
193,Female,8.0637,0.8816043210000001,0.10933,0.1214
194,Female,8.0759,0.8827766290000001,0.10931,0.121
195,Female,8.0879,0.8839265909999999,0.10929,0.1206
196,Female,8.1,0.885087,0.10927,0.1201
197,Female,8.112,0.886236,0.10925,0.1197
198,Female,8.1239,0.8874548360000001,0.10924,0.1193
199,Female,8.1357,0.8885811539999999,0.10922,0.1189
200,Female,8.1475,0.8897070000000001,0.1092,0.1185
201,Female,8.1593,0.8909139669999999,0.10919,0.1181
202,Female,8.171,0.89202807,0.10917,0.1177
203,Female,8.1826,0.8931307900000001,0.10915,0.1173
204,Female,8.1942,0.8943149880000001,0.10914,0.1169
205,Female,8.2058,0.895498954,0.10913,0.1165
206,Female,8.2173,0.896589603,0.10911,0.1161
207,Female,8.2287,0.89775117,0.1091,0.1157
208,Female,8.2401,0.898830108,0.10908,0.1153
209,Female,8.2514,0.8999801980000001,0.10907,0.1149
210,Female,8.2627,0.9011300620000001,0.10906,0.1145
211,Female,8.2739,0.9022687949999999,0.10905,0.1142
212,Female,8.2851,0.903324453,0.10903,0.1138
213,Female,8.2963,0.904462626,0.10902,0.1134
214,Female,8.3074,0.9055896739999999,0.10901,0.113
215,Female,8.3184,0.9067056,0.109,0.1126
216,Female,8.3294,0.907821306,0.10899,0.1122
217,Female,8.3404,0.908936792,0.10898,0.1118
218,Female,8.3513,0.910041161,0.10897,0.1115
219,Female,8.3621,0.911134416,0.10896,0.1111
220,Female,8.3729,0.912227455,0.10895,0.1107
221,Female,8.3837,0.9133202779999999,0.10894,0.1103
222,Female,8.3944,0.9144859359999998,0.10894,0.1099
223,Female,8.4051,0.9155675429999999,0.10893,0.1096
224,Female,8.4157,0.9166380439999999,0.10892,0.1092
225,Female,8.4263,0.917708333,0.10891,0.1088
226,Female,8.4369,0.918862779,0.10891,0.1084
227,Female,8.4474,0.91992186,0.1089,0.1081
228,Female,8.4578,0.9209698420000001,0.10889,0.1077
229,Female,8.4683,0.9221131869999999,0.10889,0.1073
230,Female,8.4787,0.923160856,0.10888,0.107
231,Female,8.489,0.92419743,0.10887,0.1066
232,Female,8.4993,0.9253187909999999,0.10887,0.1062
233,Female,8.5096,0.926355056,0.10886,0.1059
234,Female,8.5198,0.927465428,0.10886,0.1055
235,Female,8.53,0.9284905,0.10885,0.1051
236,Female,8.5401,0.9295898850000001,0.10885,0.1048
237,Female,8.5502,0.9306037680000001,0.10884,0.1044
238,Female,8.5603,0.931703052,0.10884,0.104
239,Female,8.5704,0.932802336,0.10884,0.1037
240,Female,8.5804,0.9338049319999999,0.10883,0.1033
241,Female,8.5903,0.9348823489999999,0.10883,0.103
242,Female,8.6003,0.9358846460000001,0.10882,0.1026
243,Female,8.6102,0.9369619640000001,0.10882,0.1023
244,Female,8.62,0.9380283999999999,0.10882,0.1019
245,Female,8.6299,0.9391057179999999,0.10882,0.1015
246,Female,8.6397,0.940085757,0.10881,0.1012
247,Female,8.6494,0.9411412140000001,0.10881,0.1008
248,Female,8.6592,0.9422075520000001,0.10881,0.1005
249,Female,8.6689,0.9432630090000002,0.10881,0.1001
250,Female,8.6785,0.944307585,0.10881,0.0998
251,Female,8.6882,0.9452761599999999,0.1088,0.0994
252,Female,8.6978,0.94632064,0.1088,0.0991
253,Female,8.7073,0.9473542399999999,0.1088,0.0987
254,Female,8.7169,0.94839872,0.1088,0.0984
255,Female,8.7264,0.9494323199999999,0.1088,0.0981
256,Female,8.7359000000000009,0.9504659200000001,0.1088,0.0977
257,Female,8.7453,0.95148864,0.1088,0.0974
258,Female,8.7548,0.9525222399999999,0.1088,0.097
259,Female,8.7642,0.95354496,0.1088,0.0967
260,Female,8.7735,0.9545568,0.1088,0.0963
261,Female,8.7829,0.9555795199999999,0.1088,0.096
262,Female,8.7922,0.9565913599999999,0.1088,0.0957
263,Female,8.8015,0.9576032,0.1088,0.0953
264,Female,8.8107,0.95860416,0.1088,0.095
265,Female,8.82,0.959616,0.1088,0.0947
266,Female,8.8292,0.96061696,0.1088,0.0943
267,Female,8.8384,0.9616179199999999,0.1088,0.094
268,Female,8.8475,0.9626079999999999,0.1088,0.0937
269,Female,8.8567,0.96360896,0.1088,0.0933
270,Female,8.8658,0.96459904,0.1088,0.093
271,Female,8.8748,0.96557824,0.1088,0.0927
272,Female,8.8839,0.966657159,0.10881,0.0923
273,Female,8.8929,0.9676364489999999,0.10881,0.092
274,Female,8.9019,0.968615739,0.10881,0.0917
275,Female,8.9109,0.969595029,0.10881,0.0913
276,Female,8.9199,0.970574319,0.10881,0.091
277,Female,8.9288,0.971632016,0.10882,0.0907
278,Female,8.9377,0.9726005139999999,0.10882,0.0904
279,Female,8.9466,0.973569012,0.10882,0.09
280,Female,8.9555,0.9745375100000001,0.10882,0.0897
281,Female,8.9643,0.975495126,0.10882,0.0894
282,Female,8.9731,0.9765424730000001,0.10883,0.0891
283,Female,8.9819,0.9775001769999999,0.10883,0.0887
284,Female,8.9907,0.978457881,0.10883,0.0884
285,Female,8.9995,0.97950558,0.10884,0.0881
286,Female,9.0082,0.9804524880000001,0.10884,0.0878
287,Female,9.0169,0.981399396,0.10884,0.0875
288,Female,9.0256,0.9823463040000001,0.10884,0.0871
289,Female,9.0342,0.9833726700000001,0.10885,0.0868
290,Female,9.0429,0.984319665,0.10885,0.0865
291,Female,9.0515,0.9852557750000001,0.10885,0.0862
292,Female,9.0601,0.986282486,0.10886,0.0859
293,Female,9.0687,0.987218682,0.10886,0.0856
294,Female,9.0772,0.9882347639999999,0.10887,0.0852
295,Female,9.0858,0.989171046,0.10887,0.0849
296,Female,9.0943,0.990096441,0.10887,0.0846
