year,marathon,country,finishers,mean_time
2010,"1/2 Sauer 1/2 Kraut
  Marathon",US,171,284.6
2011,"1/2 Sauer 1/2 Kraut
  Marathon",US,356,265.15
2012,"1/2 Sauer 1/2 Kraut
  Marathon",US,141,270.89
2013,"1/2 Sauer 1/2 Kraut
  Marathon",US,224,276.56
2011,"11-11-11 Marathon of
  Sarasota",US,66,301.16
2004,"2004 USA Olympic Team
  Trials - Men's Marathon",US,71,143.39
2004,"2004 USA Olympic Team
  Trials - Women's Marathon",US,107,169.91
2007,"2008 U.S. Olympic
  Team Trials - Men's Marathon",US,104,143.18
2008,"2008 U.S. Olympic
  Team Trials - Women's Marathon",US,124,166.39
2012,"2012 U.S. Olympic
  Team Trials - Men's Marathon",US,85,139.07
2012,"2012 U.S. Olympic
  Team Trials - Women's Marathon",US,152,164.89
2008,"26.2 with Donna: The
  National Marathon to Finish Breast Cancer",US,1675,308.9
2009,"26.2 with Donna: The
  National Marathon to Finish Breast Cancer",US,1243,291.39
2010,"26.2 with Donna: The
  National Marathon to Finish Breast Cancer",US,1675,295.53
2011,"26.2 with Donna: The
  National Marathon to Finish Breast Cancer",US,1897,294.94
2012,"26.2 with Donna: The
  National Marathon to Finish Breast Cancer",US,1781,293.62
2013,"26.2 with Donna: The
  National Marathon to Finish Breast Cancer",US,1535,287.93
2013,3 Bridges Marathon,US,365,296.02
2006,A Run Through Time,US,58,304.88
2007,A Run Through Time,US,91,299.81
2008,A Run Through Time,US,81,331.6
2009,A Run Through Time,US,82,299.17
2010,A Run Through Time,US,108,314.5
2011,A Run Through Time,US,127,301.85
2012,A Run Through Time,US,140,301.2
2013,A Run Through Time,US,163,293.97
2010,"A2A Arbuckles to
  Ardmore Race for Mercy",US,128,254.69
2011,"A2A Arbuckles to
  Ardmore Race for Mercy",US,274,285.47
2012,"A2A Arbuckles to
  Ardmore Race for Mercy",US,139,305.86
2013,"A2A Arbuckles to
  Ardmore Race for Mercy",US,89,270.52
2013,"Abebe Bikila Day
  International Peace Marathon",US,86,258.53
2002,Achilles Marathon,US,48,291.88
2001,"Adelaide Festival
  City Marathon",Australia,217,235.86
2002,"Adelaide Festival
  City Marathon",Australia,176,234.53
2003,"Adelaide Festival
  City Marathon",Australia,140,238.18
2004,"Adelaide Festival
  City Marathon",Australia,175,235.87
2005,"Adelaide Festival
  City Marathon",Australia,176,242.14
2006,"Adelaide Festival
  City Marathon",Australia,200,228.2
2007,"Adelaide Festival
  City Marathon",Australia,173,234.52
2008,"Adelaide Festival
  City Marathon",Australia,257,239.3
2009,"Adelaide Festival
  City Marathon",Australia,298,235.75
2010,"Adelaide Festival
  City Marathon",Australia,354,243.99
2011,"Adelaide Festival
  City Marathon",Australia,378,247.28
2012,"Adelaide Festival
  City Marathon",Australia,414,242.64
2013,"Adelaide Festival
  City Marathon",Australia,438,241.03
2001,Adirondack Marathon,US,282,256.69
2002,Adirondack Marathon,US,257,252.45
2003,Adirondack Marathon,US,201,253.42
2004,Adirondack Marathon,US,150,254.31
2005,Adirondack Marathon,US,206,257.45
2006,Adirondack Marathon,US,208,271.07
2007,Adirondack Marathon,US,191,252.06
2008,Adirondack Marathon,US,212,258.21
2009,Adirondack Marathon,US,226,264.61
2010,Adirondack Marathon,US,325,262.36
2011,Adirondack Marathon,US,276,270.12
2012,Adirondack Marathon,US,239,264.92
2013,Adirondack Marathon,US,343,273.34
2000,Air Force Marathon,US,1310,270.31
2002,Air Force Marathon,US,1407,276.98
2003,Air Force Marathon,US,1265,274.05
2004,Air Force Marathon,US,1184,273.94
2005,Air Force Marathon,US,1216,278.83
2006,Air Force Marathon,US,1378,278.59
2007,Air Force Marathon,US,1652,267.89
2008,Air Force Marathon,US,1798,276.39
2009,Air Force Marathon,US,2017,271.69
2010,Air Force Marathon,US,2417,280.98
2011,Air Force Marathon,US,2518,280.02
2012,Air Force Marathon,US,3298,286.22
2013,Air Force Marathon,US,3126,286.34
2003,Akron Marathon,US,855,260.76
2004,Akron Marathon,US,743,257.8
2005,Akron Marathon,US,767,254.21
2006,Akron Marathon,US,1038,260.18
2007,Akron Marathon,US,1165,251.48
2008,Akron Marathon,US,1582,261.77
2009,Akron Marathon,US,1427,261.73
2010,Akron Marathon,US,1519,258.66
2011,Akron Marathon,US,1390,260.11
2012,Akron Marathon,US,1628,264.03
2013,Akron Marathon,US,1617,264.88
2004,"Alice Springs
  Marathon",Australia,34,235.75
2006,"Alice Springs
  Marathon",Bermuda,37,241.9
2010,"Alice Springs
  Marathon",Bermuda,32,244.85
2011,"Alice Springs
  Marathon",Bermuda,25,248.43
2012,"Alice Springs
  Marathon",Bermuda,28,242.6
2013,"Alice Springs
  Marathon",Bermuda,34,252.37
