marathon,marathon_name,state_id,city,finishers,mean_time,lat,lng,elevation_m,date,month,day,year
"1/2 Sauer 1/2 Kraut
  Marathon",1/2 Sauer 1/2 Kraut Marathon,TN,Philadelphia,171,284.6,35.6791,-84.3998,304.73,2010-06-13,6,13,2010
"1/2 Sauer 1/2 Kraut
  Marathon",1/2 Sauer 1/2 Kraut Marathon,TN,Philadelphia,356,265.15,35.6791,-84.3998,304.73,2011-06-13,6,13,2011
"1/2 Sauer 1/2 Kraut
  Marathon",1/2 Sauer 1/2 Kraut Marathon,TN,Philadelphia,141,270.89,35.6791,-84.3998,304.73,2012-06-13,6,13,2012
"1/2 Sauer 1/2 Kraut
  Marathon",1/2 Sauer 1/2 Kraut Marathon,TN,Philadelphia,224,276.56,35.6791,-84.3998,304.73,2013-06-13,6,13,2013
"2012 U.S. Olympic
  Team Trials - Men's Marathon",2020 U.S. Olympic Team Trials - Men's Marathon,TX,Atlanta,85,139.07,33.1136,-94.1672,89.82,2012-02-28,2,28,2012
"2012 U.S. Olympic
  Team Trials - Women's Marathon",2020 U.S. Olympic Team Trials - Women's Marathon,TX,Atlanta,152,164.89,33.1136,-94.1672,89.82,2012-02-28,2,28,2012
"26.2 with Donna: The
  National Marathon to Finish Breast Cancer",26.2 with Donna: The National Marathon to Finish Breast Cancer,FL,Jacksonville Beach,1675,308.9,30.2782,-81.4045,-4.21,2008-02-09,2,9,2008
"26.2 with Donna: The
  National Marathon to Finish Breast Cancer",26.2 with Donna: The National Marathon to Finish Breast Cancer,FL,Jacksonville Beach,1243,291.39,30.2782,-81.4045,-4.21,2009-02-09,2,9,2009
"26.2 with Donna: The
  National Marathon to Finish Breast Cancer",26.2 with Donna: The National Marathon to Finish Breast Cancer,FL,Jacksonville Beach,1675,295.53,30.2782,-81.4045,-4.21,2010-02-09,2,9,2010
"26.2 with Donna: The
  National Marathon to Finish Breast Cancer",26.2 with Donna: The National Marathon to Finish Breast Cancer,FL,Jacksonville Beach,1897,294.94,30.2782,-81.4045,-4.21,2011-02-09,2,9,2011
"26.2 with Donna: The
  National Marathon to Finish Breast Cancer",26.2 with Donna: The National Marathon to Finish Breast Cancer,FL,Jacksonville Beach,1781,293.62,30.2782,-81.4045,-4.21,2012-02-09,2,9,2012
"26.2 with Donna: The
  National Marathon to Finish Breast Cancer",26.2 with Donna: The National Marathon to Finish Breast Cancer,FL,Jacksonville Beach,1535,287.93,30.2782,-81.4045,-4.21,2013-02-09,2,9,2013
3 Bridges Marathon,3 Bridges Marathon,AR,Little Rock,365,296.02,34.7255,-92.358,127.65,2013-12-19,12,19,2013
A Run Through Time,A Run Through Time,CO,Salida,58,304.88,38.53,-105.9984,2901.82,2006-03-14,3,14,2006
A Run Through Time,A Run Through Time,CO,Salida,91,299.81,38.53,-105.9984,2901.82,2007-03-14,3,14,2007
A Run Through Time,A Run Through Time,CO,Salida,81,331.6,38.53,-105.9984,2901.82,2008-03-14,3,14,2008
A Run Through Time,A Run Through Time,CO,Salida,82,299.17,38.53,-105.9984,2901.82,2009-03-14,3,14,2009
A Run Through Time,A Run Through Time,CO,Salida,108,314.5,38.53,-105.9984,2901.82,2010-03-14,3,14,2010
A Run Through Time,A Run Through Time,CO,Salida,127,301.85,38.53,-105.9984,2901.82,2011-03-14,3,14,2011
A Run Through Time,A Run Through Time,CO,Salida,140,301.2,38.53,-105.9984,2901.82,2012-03-14,3,14,2012
A Run Through Time,A Run Through Time,CO,Salida,163,293.97,38.53,-105.9984,2901.82,2013-03-14,3,14,2013
"A2A Arbuckles to
  Ardmore Race for Mercy",A2A Arbuckles to Ardmore Race for Mercy,TN,Ardmore,128,254.69,35.0031,-86.855,215.08,2010-03-29,3,29,2010
"A2A Arbuckles to
  Ardmore Race for Mercy",A2A Arbuckles to Ardmore Race for Mercy,TN,Ardmore,274,285.47,35.0031,-86.855,215.08,2011-03-29,3,29,2011
"A2A Arbuckles to
  Ardmore Race for Mercy",A2A Arbuckles to Ardmore Race for Mercy,TN,Ardmore,139,305.86,35.0031,-86.855,215.08,2012-03-29,3,29,2012
"A2A Arbuckles to
  Ardmore Race for Mercy",A2A Arbuckles to Ardmore Race for Mercy,TN,Ardmore,89,270.52,35.0031,-86.855,215.08,2013-03-29,3,29,2013
"Abebe Bikila Day
  International Peace Marathon",Abebe Bikila Day International Peace Marathon,DC,Washington,86,258.53,38.9047,-77.0163,43.82,2013-09-12,9,12,2013
Adirondack Marathon,Adirondack Marathon,NY,Schroon Lake,282,256.69,43.8345,-73.7647,406.45,2001-09-27,9,27,2001
Adirondack Marathon,Adirondack Marathon,NY,Schroon Lake,257,252.45,43.8345,-73.7647,406.45,2002-09-27,9,27,2002
Adirondack Marathon,Adirondack Marathon,NY,Schroon Lake,201,253.42,43.8345,-73.7647,406.45,2003-09-27,9,27,2003
Adirondack Marathon,Adirondack Marathon,NY,Schroon Lake,150,254.31,43.8345,-73.7647,406.45,2004-09-27,9,27,2004
Adirondack Marathon,Adirondack Marathon,NY,Schroon Lake,206,257.45,43.8345,-73.7647,406.45,2005-09-27,9,27,2005
Adirondack Marathon,Adirondack Marathon,NY,Schroon Lake,208,271.07,43.8345,-73.7647,406.45,2006-09-27,9,27,2006
Adirondack Marathon,Adirondack Marathon,NY,Schroon Lake,191,252.06,43.8345,-73.7647,406.45,2007-09-27,9,27,2007
Adirondack Marathon,Adirondack Marathon,NY,Schroon Lake,212,258.21,43.8345,-73.7647,406.45,2008-09-27,9,27,2008
Adirondack Marathon,Adirondack Marathon,NY,Schroon Lake,226,264.61,43.8345,-73.7647,406.45,2009-09-27,9,27,2009
Adirondack Marathon,Adirondack Marathon,NY,Schroon Lake,325,262.36,43.8345,-73.7647,406.45,2010-09-27,9,27,2010
Adirondack Marathon,Adirondack Marathon,NY,Schroon Lake,276,270.12,43.8345,-73.7647,406.45,2011-09-27,9,27,2011
