number,first,last
1923536,1,6
1238185,1,5
1252023,1,3
797800,7,0
89712,8,2
63980,6,0
5145,5,5
4693,4,3
128124,1,4
70977,7,7
10609,1,9
9691,9,1
3086,3,6
4958,4,8
4419,4,9
417,4,7
2932,2,2
1600,1,0
70644,7,4
27864,2,4
8179,8,9
7583,7,3
3323,3,3
395426,3,6
286370,2,0
1054257,1,7
769557,7,7
318,3,8
1670,1,0
97030,9,0
3819,3,9
2490,2,0
8498,8,8
8756,8,6
486190,4,0
298687,2,7
1223352,1,2
1102366,1,6
32101,3,1
70387,7,7
636626,6,6
282306,2,6
61978,6,8
45978,4,8
125238,1,8
54747,5,7
29446,2,6
1531,1,1
3122517,3,7
2183489,2,9
113150,1,0
77377,7,7
139910,1,0
636,6,6
274161,2,1
115636,1,6
153959,1,9
103991,1,1
87670,8,0
499854,4,4
250287,2,7
10602,1,2
7346,7,6
3699,3,9
12156,1,6
1659682,1,2
925466,9,6
63906,6,6
51540,5,0
158883,1,3
158883,1,3
1261300,1,0
1213495,1,5
11673,1,3
12200,1,0
314912,3,2
224148,2,8
1988,1,8
1670,1,0
1449365,1,5
1054257,1,7
395426,3,6
286370,2,0
8179,8,9
7583,7,3
746474,7,4
522397,5,7
7919,7,9
4693,4,3
26555,2,5
13689,1,9
3573,3,3
4601,4,1
4419,4,9
417,4,7
2089,2,9
1880,1,0
511,5,1
751,7,1
333502,3,2
41196,4,6
562,5,2
826,8,6
1358878,1,8
1032009,1,9
43331,4,1
38041,3,1
25240,2,0
11649,1,9
21872,2,2
10942,1,2
2139,2,9
296,2,6
216,2,6
200,2,0
75,7,5
1478,1,8
24120,2,0
624750,6,0
460000,4,0
47962,4,2
36534,3,4
17255,1,5
13633,1,3
8555,8,5
652474,6,4
3079,3,9
20328,2,8
27591,2,1
530,5,0
150000,1,0
5781,5,1
5972,5,2
2309,2,9
22,2,2
1102366,1,6
441171,4,1
82447,8,7
52363,5,3
5569,5,9
3723,3,3
178328,1,8
184637,1,7
106865,1,5
44469,4,9
47094,4,4
59522,5,2
43054000,4,0
45096000,4,0
12996000,1,0
30242000,3,0
5027000,5,0
3481000,3,0
3206,3,6
2411,2,1
9200,9,0
6641,6,1
11219,1,9
5793,5,3
24929,2,9
21675,2,5
13424,1,4
9458,9,8
505549000,5,0
275403000,2,0
1292000,1,0
1515000,1,0
42826,4,6
16213,1,3
28449,2,9
13742,1,2
63919,6,9
7131,7,1
52072,5,2
4213,4,3
12744,1,4
10214,1,4
1538,1,8
9714,9,4
1297,1,7
6007,6,7
3017,3,7
4059,4,9
