number,first,last
36.08,3,8
77.8,7,8
34.97,3,7
59,5,9
59.56,5,6
50.38,5,8
26.57,2,7
102.17,1,7
25.19,2,9
37.31,3,1
74.17,7,7
55.22,5,2
40.55,4,5
41.79,4,9
55.29,5,9
63.66,6,6
71.41,7,1
49,4,9
94.29,9,9
28.34,2,4
28.09,2,9
46.64,4,4
49.91,4,1
34.22,3,2
32.12,3,2
75.98,7,8
68.41,6,1
25.86,2,6
90.17,9,7
38.68,3,8
42.56,4,6
142.22,1,2
27.83,2,3
94.72,9,2
430.15,4,5
1966.98,1,8
8186.22,8,2
8378.22,8,2
18469.21,1,1
403.36,4,6
12712.43,1,3
147.8,1,8
7512.55,7,5
10239.22,1,2
10287.8,1,8
10969.46,1,6
7641.42,7,2
1917.15,1,5
2044.96,2,6
932.91,9,1
145.58,1,8
98.19,9,9
7529.28,7,8
1166.29,1,9
41.42,4,2
31.01,3,1
62.15,6,5
46.73,4,3
32.23,3,3
9919.25,9,5
10870.42,1,2
806.2,8,2
767.75,7,5
806.66,8,6
1171.45,1,5
26.49,2,9
32.71,3,1
38,3,8
180.52,1,2
44.05,4,5
75.7,7,7
33.91,3,1
50.42,5,2
40.45,4,5
81.07,8,7
43.86,4,6
51.33,5,3
153,1,3
69.59,6,9
38.54,3,4
73.9,7,9
64.67,6,7
44.17,4,7
56.62,5,2
33,3,3
32.16,3,6
34.36,3,6
27.91,2,1
52.16,5,6
32.48,3,8
54.41,5,1
26.24,2,4
87.64,8,4
38,3,8
61.66,6,6
49.63,4,3
82,8,2
139.43,1,3
43.77,4,7
30.3,3,3
29.69,2,9
41.52,4,2
99.66,9,6
113.34,1,4
166.68,1,8
67.71,6,1
57.76,5,6
117.22,1,2
27.26,2,6
25.51,2,1
49.07,4,7
63.63,6,3
50.8,5,8
83.67,8,7
38.45,3,5
40.53,4,3
42.57,4,7
47.48,4,8
32.25,3,5
53.52,5,2
40.06,4,6
36.3,3,3
82.79,8,9
66.59,6,9
28.59,2,9
65.3,6,3
133.53,1,3
49.7,4,7
127.47,1,7
49.27,4,7
114.78,1,8
41.67,4,7
126.3,1,3
31.72,3,2
102.16,1,6
40.94,4,4
42.56,4,6
25.18,2,8
46.85,4,5
29.1,2,1
