country,region,candidate,number,first,last
US,Alabama,Obama,813479,8,9
US,Alabama,McCain,1266546,1,6
US,Alabama,Nader,6788,6,8
US,Alabama,Barr,4991,4,1
US,Alabama,Baldwin,4310,4,0
US,Alabama,Others votes,3705,3,5
US,Alaska,Obama,123594,1,4
US,Alaska,McCain,193841,1,1
US,Alaska,Nader,3783,3,3
US,Alaska,Barr,1589,1,9
US,Alaska,Baldwin,1660,1,0
US,Alaska,Others votes,1730,1,0
US,Arizona,Obama,1034707,1,7
US,Arizona,McCain,1230111,1,1
US,Arizona,Nader,11301,1,1
US,Arizona,Barr,12555,1,5
US,Arizona,Baldwin,1371,1,1
US,Arizona,McKinney,3406,3,6
US,Arizona,Others votes,24,2,4
US,Arkansas,Obama,422310,4,0
US,Arkansas,McCain,638017,6,7
US,Arkansas,Nader,12882,1,2
US,Arkansas,Barr,4776,4,6
US,Arkansas,Baldwin,4023,4,3
US,Arkansas,McKinney,3470,3,0
US,Arkansas,Others votes,1139,1,9
US,California,Obama,8274473,8,3
US,California,McCain,5011781,5,1
US,California,Nader,108381,1,1
US,California,Barr,67582,6,2
US,California,Baldwin,3145,3,5
US,California,McKinney,38774,3,4
US,California,Others votes,57764,5,4
US,Colorado,Obama,1288576,1,6
US,Colorado,McCain,1073589,1,9
US,Colorado,Nader,13350,1,0
US,Colorado,Barr,10897,1,7
US,Colorado,Baldwin,6233,6,3
US,Colorado,McKinney,2822,2,2
US,Colorado,Others votes,5894,5,4
US,Connecticut,Obama,997772,9,2
US,Connecticut,McCain,629428,6,8
US,Connecticut,Nader,19162,1,2
US,Connecticut,Baldwin,311,3,1
US,Connecticut,McKinney,90,9,0
US,Connecticut,Others votes,29,2,9
US,Delaware,Obama,255459,2,9
US,Delaware,McCain,152374,1,4
US,Delaware,Nader,2401,2,1
US,Delaware,Barr,1109,1,9
US,Delaware,Baldwin,626,6,6
US,Delaware,McKinney,385,3,5
US,Delaware,Others votes,58,5,8
US,District of Columbia,Obama,245800,2,0
US,District of Columbia,McCain,17367,1,7
US,District of Columbia,Nader,958,9,8
US,District of Columbia,McKinney,590,5,0
US,District of Columbia,Others votes,1138,1,8
US,Florida,Obama,4282074,4,4
US,Florida,McCain,4045624,4,4
US,Florida,Nader,28124,2,4
US,Florida,Barr,17218,1,8
US,Florida,Baldwin,7915,7,5
US,Florida,McKinney,2887,2,7
US,Florida,Others votes,6902,6,2
US,Georgia,Obama,1844123,1,3
US,Georgia,McCain,2048759,2,9
US,Georgia,Nader,1158,1,8
US,Georgia,Barr,28731,2,1
US,Georgia,Baldwin,1402,1,2
US,Georgia,McKinney,250,2,0
US,Georgia,Others votes,63,6,3
US,Hawaii,Obama,325871,3,1
US,Hawaii,McCain,120566,1,6
US,Hawaii,Nader,3825,3,5
US,Hawaii,Barr,1314,1,4
US,Hawaii,Baldwin,1013,1,3
US,Hawaii,McKinney,979,9,9
US,Idaho,Obama,236440,2,0
US,Idaho,McCain,403012,4,2
US,Idaho,Nader,7175,7,5
US,Idaho,Barr,3658,3,8
US,Idaho,Baldwin,4747,4,7
US,Illinois,Obama,3419348,3,8
US,Illinois,McCain,2031179,2,9
US,Illinois,Nader,30948,3,8
US,Illinois,Barr,19642,1,2
US,Illinois,Baldwin,8256,8,6
US,Illinois,McKinney,11838,1,8
US,Illinois,Others votes,1160,1,0
US,Indiana,Obama,1374039,1,9
US,Indiana,McCain,1345648,1,8
US,Indiana,Nader,909,9,9
US,Indiana,Barr,29257,2,7
US,Indiana,Baldwin,1024,1,4
US,Indiana,McKinney,87,8,7
US,Indiana,Others votes,90,9,0
US,Iowa,Obama,828940,8,0
US,Iowa,McCain,682379,6,9
US,Iowa,Nader,8014,8,4
US,Iowa,Barr,4590,4,0
US,Iowa,Baldwin,4445,4,5
US,Iowa,McKinney,1423,1,3
US,Iowa,Others votes,7332,7,2
US,Kansas,Obama,514765,5,5
US,Kansas,McCain,699655,6,5
US,Kansas,Nader,10527,1,7
US,Kansas,Barr,6706,6,6
US,Kansas,Baldwin,4148,4,8
US,Kansas,McKinney,35,3,5
US,Kansas,Others votes,36,3,6
US,Kentucky,Obama,751985,7,5
US,Kentucky,McCain,1048462,1,2
US,Kentucky,Nader,15378,1,8
US,Kentucky,Barr,5989,5,9
US,Kentucky,Baldwin,4694,4,4
US,Louisiana,Obama,782989,7,9
US,Louisiana,McCain,1148275,1,5
US,Louisiana,Nader,6997,6,7
US,Louisiana,Baldwin,2581,2,1
US,Louisiana,McKinney,9187,9,7
US,Louisiana,Others votes,10732,1,2
US,ME 1st Dist.,Obama,232145,2,5
US,ME 1st Dist.,McCain,144604,1,4
US,ME 1st Dist.,Nader,5263,5,3
US,ME 1st Dist.,McKinney,1362,1,2
US,ME 1st Dist.,Others votes,252,2,2
US,ME 2nd Dist.,Obama,189778,1,8
US,ME 2nd Dist.,McCain,150669,1,9
US,ME 2nd Dist.,Nader,5373,5,3
US,ME 2nd Dist.,McKinney,1538,1,8
US,ME 2nd Dist.,Others votes,179,1,9
US,Maryland,Obama,1629467,1,7
US,Maryland,McCain,959862,9,2
US,Maryland,Nader,14713,1,3
US,Maryland,Barr,9842,9,2
US,Maryland,Baldwin,3760,3,0
US,Maryland,McKinney,4747,4,7
US,Maryland,Others votes,9205,9,5
US,Massachusetts,Obama,1904097,1,7
US,Massachusetts,McCain,1108854,1,4
US,Massachusetts,Nader,28841,2,1
US,Massachusetts,Barr,13189,1,9
US,Massachusetts,Baldwin,4971,4,1
US,Massachusetts,McKinney,6550,6,0
US,Massachusetts,Others votes,14483,1,3
US,Michigan,Obama,2872579,2,9
US,Michigan,McCain,2048639,2,9
US,Michigan,Nader,33085,3,5
US,Michigan,Barr,23716,2,6
US,Michigan,Baldwin,14685,1,5
US,Michigan,McKinney,8892,8,2
US,Michigan,Others votes,170,1,0
US,Minnesota,Obama,1573354,1,4
US,Minnesota,McCain,1275409,1,9
US,Minnesota,Nader,30152,3,2
US,Minnesota,Barr,9174,9,4
US,Minnesota,Baldwin,6787,6,7
US,Minnesota,McKinney,5174,5,4
US,Minnesota,Others votes,10319,1,9
US,Mississippi,Obama,554662,5,2
US,Mississippi,McCain,724597,7,7
US,Mississippi,Nader,4011,4,1
US,Mississippi,Barr,2529,2,9
US,Mississippi,Baldwin,2551,2,1
US,Mississippi,McKinney,1034,1,4
US,Mississippi,Others votes,481,4,1
US,Missouri,Obama,1441911,1,1
US,Missouri,McCain,1445814,1,4
US,Missouri,Nader,17813,1,3
US,Missouri,Barr,11386,1,6
US,Missouri,Baldwin,8201,8,1
US,Missouri,McKinney,80,8,0
US,Montana,Obama,231667,2,7
US,Montana,McCain,242763,2,3
US,Montana,Nader,3686,3,6
US,Montana,Barr,1355,1,5
US,Montana,Baldwin,143,1,3
US,Montana,McKinney,23,2,3
US,Montana,Others votes,10638,1,8
US,NE 1st Dist.,Obama,121468,1,8
US,NE 1st Dist.,McCain,148179,1,9
US,NE 1st Dist.,Nader,1970,1,0
US,NE 1st Dist.,Barr,929,9,9
US,NE 1st Dist.,Baldwin,1019,1,9
