country,type,details,month,year,number,first,last
Spain,Surgical.proce,General surgery and digestive,december,2003,92020,9,0
Spain,Surgical.proce,Gynecology surgery,december,2003,28997,2,7
Spain,Surgical.proce,Ophthalmology surgery,december,2003,87786,8,6
Spain,Surgical.proce,Otorhinolaryngology,december,2003,33510,3,0
Spain,Surgical.proce,Traumatology surgery,december,2003,106033,1,3
Spain,Surgical.proce,Urology surgery,december,2003,30325,3,5
Spain,Surgical.proce,Heart surgery,december,2003,2345,2,5
Spain,Surgical.proce,Angiology surgery,december,2003,10787,1,7
Spain,Surgical.proce,Maxillofacial surgery,december,2003,5726,5,6
Spain,Surgical.proce,Pediatric surgery,december,2003,11812,1,2
Spain,Surgical.proce,Plastic surgery,december,2003,10817,1,7
Spain,Surgical.proce,Thoracic surgery,december,2003,998,9,8
Spain,Surgical.proce,Neurosurgery,december,2003,6714,6,4
Spain,Surgical.proce,Dermatology surgery,december,2003,8358,8,8
Spain,Surgical.proce,General surgery and digestive,december,2004,85470,8,0
Spain,Surgical.proce,Gynecology surgery,december,2004,28242,2,2
Spain,Surgical.proce,Ophthalmology surgery,december,2004,85961,8,1
Spain,Surgical.proce,Otorhinolaryngology,december,2004,32565,3,5
Spain,Surgical.proce,Traumatology surgery,december,2004,104321,1,1
Spain,Surgical.proce,Urology surgery,december,2004,30107,3,7
Spain,Surgical.proce,Heart surgery,december,2004,2173,2,3
Spain,Surgical.proce,Angiology surgery,december,2004,10857,1,7
Spain,Surgical.proce,Maxillofacial surgery,december,2004,5043,5,3
Spain,Surgical.proce,Pediatric surgery,december,2004,10195,1,5
Spain,Surgical.proce,Plastic surgery,december,2004,11431,1,1
Spain,Surgical.proce,Thoracic surgery,december,2004,886,8,6
Spain,Surgical.proce,Neurosurgery,december,2004,6568,6,8
Spain,Surgical.proce,Dermatology surgery,december,2004,7897,7,7
Spain,Surgical.proce,General surgery and digestive,december,2005,77762,7,2
Spain,Surgical.proce,Gynecology surgery,december,2005,22610,2,0
Spain,Surgical.proce,Ophthalmology surgery,december,2005,77824,7,4
Spain,Surgical.proce,Otorhinolaryngology,december,2005,27877,2,7
Spain,Surgical.proce,Traumatology surgery,december,2005,99368,9,8
Spain,Surgical.proce,Urology surgery,december,2005,26701,2,1
Spain,Surgical.proce,Heart surgery,december,2005,2370,2,0
Spain,Surgical.proce,Angiology surgery,december,2005,9976,9,6
Spain,Surgical.proce,Maxillofacial surgery,december,2005,6753,6,3
Spain,Surgical.proce,Pediatric surgery,december,2005,9251,9,1
Spain,Surgical.proce,Plastic surgery,december,2005,11705,1,5
Spain,Surgical.proce,Thoracic surgery,december,2005,899,8,9
Spain,Surgical.proce,Neurosurgery,december,2005,6025,6,5
Spain,Surgical.proce,Dermatology surgery,december,2005,5929,5,9
Spain,Surgical.proce,General surgery and digestive,june,2006,71095,7,5
Spain,Surgical.proce,Gynecology surgery,june,2006,22365,2,5
Spain,Surgical.proce,Ophthalmology surgery,june,2006,80438,8,8
Spain,Surgical.proce,Otorhinolaryngology,june,2006,28871,2,1
Spain,Surgical.proce,Traumatology surgery,june,2006,101326,1,6
Spain,Surgical.proce,Urology surgery,june,2006,25440,2,0
Spain,Surgical.proce,Heart surgery,june,2006,2117,2,7
Spain,Surgical.proce,Angiology surgery,june,2006,10415,1,5
Spain,Surgical.proce,Maxillofacial surgery,june,2006,5299,5,9
Spain,Surgical.proce,Pediatric surgery,june,2006,9230,9,0
Spain,Surgical.proce,Plastic surgery,june,2006,10543,1,3
Spain,Surgical.proce,Thoracic surgery,june,2006,904,9,4
Spain,Surgical.proce,Neurosurgery,june,2006,5774,5,4
Spain,Surgical.proce,Dermatology surgery,june,2006,5888,5,8
Spain,Surgical.proce,General surgery and digestive,december,2006,71137,7,7
Spain,Surgical.proce,Gynecology surgery,december,2006,21916,2,6
Spain,Surgical.proce,Ophthalmology surgery,december,2006,75342,7,2
Spain,Surgical.proce,Otorhinolaryngology,december,2006,26494,2,4
Spain,Surgical.proce,Traumatology surgery,december,2006,95322,9,2
Spain,Surgical.proce,Urology surgery,december,2006,24043,2,3
Spain,Surgical.proce,Heart surgery,december,2006,2041,2,1
Spain,Surgical.proce,Angiology surgery,december,2006,9433,9,3
Spain,Surgical.proce,Maxillofacial surgery,december,2006,4652,4,2
Spain,Surgical.proce,Pediatric surgery,december,2006,9035,9,5
Spain,Surgical.proce,Plastic surgery,december,2006,10558,1,8
Spain,Surgical.proce,Thoracic surgery,december,2006,871,8,1
Spain,Surgical.proce,Neurosurgery,december,2006,5113,5,3
Spain,Surgical.proce,Dermatology surgery,december,2006,6805,6,5
Spain,Surgical.proce,General surgery and digestive,june,2007,69208,6,8
Spain,Surgical.proce,Gynecology surgery,june,2007,21820,2,0
Spain,Surgical.proce,Ophthalmology surgery,june,2007,76479,7,9
Spain,Surgical.proce,Otorhinolaryngology,june,2007,28607,2,7
Spain,Surgical.proce,Traumatology surgery,june,2007,96655,9,5
Spain,Surgical.proce,Urology surgery,june,2007,25527,2,7
Spain,Surgical.proce,Heart surgery,june,2007,2357,2,7
Spain,Surgical.proce,Angiology surgery,june,2007,9323,9,3
Spain,Surgical.proce,Maxillofacial surgery,june,2007,3917,3,7
Spain,Surgical.proce,Pediatric surgery,june,2007,8875,8,5
Spain,Surgical.proce,Plastic surgery,june,2007,10173,1,3
Spain,Surgical.proce,Thoracic surgery,june,2007,933,9,3
Spain,Surgical.proce,Neurosurgery,june,2007,5610,5,0
Spain,Surgical.proce,Dermatology surgery,june,2007,5418,5,8
Spain,Surgical.proce,General surgery and digestive,december,2007,76037,7,7
Spain,Surgical.proce,Gynecology surgery,december,2007,21771,2,1
Spain,Surgical.proce,Ophthalmology surgery,december,2007,75935,7,5
Spain,Surgical.proce,Otorhinolaryngology,december,2007,29315,2,5
Spain,Surgical.proce,Traumatology surgery,december,2007,96651,9,1
Spain,Surgical.proce,Urology surgery,december,2007,27736,2,6
Spain,Surgical.proce,Heart surgery,december,2007,2589,2,9
Spain,Surgical.proce,Angiology surgery,december,2007,9450,9,0
Spain,Surgical.proce,Maxillofacial surgery,december,2007,4436,4,6
Spain,Surgical.proce,Pediatric surgery,december,2007,8550,8,0
Spain,Surgical.proce,Plastic surgery,december,2007,10072,1,2
Spain,Surgical.proce,Thoracic surgery,december,2007,998,9,8
Spain,Surgical.proce,Neurosurgery,december,2007,5597,5,7
Spain,Surgical.proce,Dermatology surgery,december,2007,7105,7,5
Spain,Surgical.proce,General surgery and digestive,june,2008,70446,7,6
Spain,Surgical.proce,Gynecology surgery,june,2008,21814,2,4
Spain,Surgical.proce,Ophthalmology surgery,june,2008,75644,7,4
Spain,Surgical.proce,Otorhinolaryngology,june,2008,29459,2,9
Spain,Surgical.proce,Traumatology surgery,june,2008,98586,9,6
Spain,Surgical.proce,Urology surgery,june,2008,27719,2,9
