player,birthday,yrs,from,to,pos
Eddie Anderson,1900-11-13,4,1922,1925,E
Juddy Ash,1900-07-12,1,1926,1926,G
Chalmer Ault,1900-07-10,2,1924,1925,T
Sam Babcock,1900-12-09,1,1926,1926,WB-FB-BB
Bullet Baker,1900-11-04,5,1927,1931,BB-WB-TB-HB
Myrt Basing,1900-10-29,5,1923,1927,B
Buddy Baumann,1900-08-04,1,1922,1922,T-G
John Beasley,1900-10-24,1,1923,1923,G
John Beckwith,1900-02-06,1,1920,1920,HB
Marty Beck,1900-01-02,4,1921,1926,B
Bull Behman,1900-01-15,7,1924,1931,T-G/Coach
Les Belding,1900-12-05,1,1925,1925,E-B
George Berry,1900-02-18,5,1922,1926,G-T-C
Riley Biggs,1900-03-24,2,1926,1927,C
Herb Blumer,1900-03-07,7,1925,1933,E-G-T
Champ Boettcher,1900-09-18,1,1926,1926,B
Chase Boldt,1900-05-07,3,1921,1923,B
Obie Bristow,1900-04-17,2,1925,1926,B
Frank Bucher,1900-12-19,2,1925,1926,E
Earl Burgner,1900-05-19,1,1923,1923,BB-WB
Joe Burks,1900-08-19,1,1926,1926,C
Hal Burt,1900-09-11,1,1924,1924,G
Lyle Burton,1900-05-21,2,1924,1925,G-T-FB
Russ Burt,1900-12-15,2,1924,1925,WB-FB
Tiny Cahoon,1900-05-22,4,1926,1929,T
Eric Calhoun,1900-08-01,1,1926,1926,T-G
Oke Carlson,1900-04-17,3,1924,1926,T-G-C
Art Carney,1900-09-23,2,1925,1926,G-E
Chuck Carney,1900-08-25,1,1922,1922,T-G
Lloyd Cearing,1900-11-03,2,1922,1923,B
Bill Clarkin,1900-01-06,1,1929,1929,T-G
Pots Clark,1900-11-26,1,1927,1927,HB
Hook Comer,1900-06-10,1,1926,1926,FB
Rudy Comstock,1900-08-14,11,1923,1933,G-T
Frank DeClerk,1900-09-14,3,1923,1925,C
Fred DeStefano,1900-04-04,2,1924,1925,B
Rufe DeWitz,1900-06-09,2,1924,1926,B
Jim Donlin,1900-09-25,1,1926,1926,G
Doc Elliott,1900-04-06,5,1922,1931,B
Harry Englund,1900-08-13,2,1921,1922,E-HB
Carl Etelman,1900-04-02,1,1926,1926,B
Earl Evans,1900-04-14,5,1925,1929,T-G
Clarke Fischer,1900-03-30,1,1926,1926,HB
Bob Fitzke,1900-07-30,1,1925,1925,WB
Dick Flaherty,1900-08-08,1,1926,1926,E
Jack Flavin,1900-01-25,2,1923,1924,FB
Paul Florence,1900-04-22,1,1920,1920,E
Hec Garvey,1900-02-20,8,1922,1931,G-E-T-C
Mike Gavagan,1900-04-10,1,1923,1923,FB-BB
Chet Gay,1900-01-08,2,1925,1926,G-T-C
Dick Gibson,1900-12-05,2,1922,1923,T-G
Wally Gilbert,1900-12-19,4,1923,1926,TB-WB
Patsy Giugliano,1900-12-11,1,1923,1923,BB
Morris Glassman,1900-02-19,2,1921,1922,E
