age,gender,chiptime,year,marathon,country,finishers
29,M,147.1,2000,Big Sur Marathon,US,2392
30,M,152.8833,2000,Big Sur Marathon,US,2392
31,M,154.4833,2000,Big Sur Marathon,US,2392
30,M,160.6333,2000,Big Sur Marathon,US,2392
35,M,162.6833,2000,Big Sur Marathon,US,2392
40,M,164.3833,2000,Big Sur Marathon,US,2392
39,M,166.2667,2000,Big Sur Marathon,US,2392
38,F,166.8833,2000,Big Sur Marathon,US,2392
29,M,166.9667,2000,Big Sur Marathon,US,2392
24,M,168.4,2000,Big Sur Marathon,US,2392
27,F,169.3833,2000,Big Sur Marathon,US,2392
40,M,169.45,2000,Big Sur Marathon,US,2392
25,M,172.35,2000,Big Sur Marathon,US,2392
32,M,172.7167,2000,Big Sur Marathon,US,2392
37,M,173.75,2000,Big Sur Marathon,US,2392
41,M,173.7833,2000,Big Sur Marathon,US,2392
24,M,174.95,2000,Big Sur Marathon,US,2392
41,F,175.0333,2000,Big Sur Marathon,US,2392
27,M,175.05,2000,Big Sur Marathon,US,2392
30,M,175.5333,2000,Big Sur Marathon,US,2392
30,F,176.0333,2000,Big Sur Marathon,US,2392
45,M,176.15,2000,Big Sur Marathon,US,2392
31,M,176.2333,2000,Big Sur Marathon,US,2392
24,M,176.75,2000,Big Sur Marathon,US,2392
42,M,177.0333,2000,Big Sur Marathon,US,2392
41,M,177.4833,2000,Big Sur Marathon,US,2392
42,F,177.5833,2000,Big Sur Marathon,US,2392
40,M,178.1,2000,Big Sur Marathon,US,2392
37,M,178.2333,2000,Big Sur Marathon,US,2392
44,M,178.3333,2000,Big Sur Marathon,US,2392
25,M,178.4167,2000,Big Sur Marathon,US,2392
34,M,178.6667,2000,Big Sur Marathon,US,2392
53,M,178.8667,2000,Big Sur Marathon,US,2392
35,M,179.3,2000,Big Sur Marathon,US,2392
46,M,179.8833,2000,Big Sur Marathon,US,2392
45,M,180.1167,2000,Big Sur Marathon,US,2392
35,M,180.4833,2000,Big Sur Marathon,US,2392
32,M,181.2667,2000,Big Sur Marathon,US,2392
31,M,182.3167,2000,Big Sur Marathon,US,2392
40,M,182.6167,2000,Big Sur Marathon,US,2392
25,M,183.0167,2000,Big Sur Marathon,US,2392
36,M,183.6833,2000,Big Sur Marathon,US,2392
33,M,183.7167,2000,Big Sur Marathon,US,2392
44,M,184.4667,2000,Big Sur Marathon,US,2392
30,M,184.8333,2000,Big Sur Marathon,US,2392
36,M,186.1,2000,Big Sur Marathon,US,2392
36,M,186.85,2000,Big Sur Marathon,US,2392
53,M,187.4167,2000,Big Sur Marathon,US,2392
40,M,187.5667,2000,Big Sur Marathon,US,2392
40,M,187.7167,2000,Big Sur Marathon,US,2392
30,F,188.45,2000,Big Sur Marathon,US,2392
32,M,188.5667,2000,Big Sur Marathon,US,2392
45,M,189.25,2000,Big Sur Marathon,US,2392
37,M,190.15,2000,Big Sur Marathon,US,2392
42,M,190.4833,2000,Big Sur Marathon,US,2392
40,M,190.65,2000,Big Sur Marathon,US,2392
39,M,190.8667,2000,Big Sur Marathon,US,2392
45,M,191,2000,Big Sur Marathon,US,2392
31,M,191.1333,2000,Big Sur Marathon,US,2392
32,M,191.2333,2000,Big Sur Marathon,US,2392
41,M,191.4333,2000,Big Sur Marathon,US,2392
39,M,191.5333,2000,Big Sur Marathon,US,2392
50,M,192.6167,2000,Big Sur Marathon,US,2392
35,M,192.6167,2000,Big Sur Marathon,US,2392
47,M,192.85,2000,Big Sur Marathon,US,2392
25,M,192.8833,2000,Big Sur Marathon,US,2392
36,M,193.3,2000,Big Sur Marathon,US,2392
42,M,193.4333,2000,Big Sur Marathon,US,2392
34,M,193.45,2000,Big Sur Marathon,US,2392
51,M,193.5167,2000,Big Sur Marathon,US,2392
42,M,193.5667,2000,Big Sur Marathon,US,2392
45,F,193.6333,2000,Big Sur Marathon,US,2392
29,M,194.1667,2000,Big Sur Marathon,US,2392
53,M,194.3,2000,Big Sur Marathon,US,2392
39,M,194.4333,2000,Big Sur Marathon,US,2392
52,M,194.6833,2000,Big Sur Marathon,US,2392
39,F,194.9,2000,Big Sur Marathon,US,2392
25,M,194.9,2000,Big Sur Marathon,US,2392
47,M,195.1333,2000,Big Sur Marathon,US,2392
46,M,195.4333,2000,Big Sur Marathon,US,2392
31,F,195.4833,2000,Big Sur Marathon,US,2392
31,M,195.5667,2000,Big Sur Marathon,US,2392
44,M,195.9667,2000,Big Sur Marathon,US,2392
40,M,196.0667,2000,Big Sur Marathon,US,2392
36,M,196.1,2000,Big Sur Marathon,US,2392
41,M,196.3333,2000,Big Sur Marathon,US,2392
39,M,196.35,2000,Big Sur Marathon,US,2392
39,M,196.55,2000,Big Sur Marathon,US,2392
40,M,197,2000,Big Sur Marathon,US,2392
31,M,197.1833,2000,Big Sur Marathon,US,2392
26,F,197.2833,2000,Big Sur Marathon,US,2392
40,M,197.85,2000,Big Sur Marathon,US,2392
22,M,197.95,2000,Big Sur Marathon,US,2392
39,M,198.35,2000,Big Sur Marathon,US,2392
36,M,198.3667,2000,Big Sur Marathon,US,2392
44,M,198.65,2000,Big Sur Marathon,US,2392
49,F,199,2000,Big Sur Marathon,US,2392
25,M,199.0167,2000,Big Sur Marathon,US,2392
30,M,199.0667,2000,Big Sur Marathon,US,2392
53,M,199.3833,2000,Big Sur Marathon,US,2392
49,M,199.5833,2000,Big Sur Marathon,US,2392
40,F,199.7,2000,Big Sur Marathon,US,2392
30,F,199.7667,2000,Big Sur Marathon,US,2392
