age,gender,chiptime,year,marathon,country,finishers
49,NA,134.45,2011,Jerusalem Marathon,Israel,841
34,NA,134.9667,2011,Jerusalem Marathon,Israel,841
46,NA,138.1333,2011,Jerusalem Marathon,Israel,841
63,NA,143.6833,2011,Jerusalem Marathon,Israel,841
33,NA,146.65,2011,Jerusalem Marathon,Israel,841
24,NA,146.8833,2011,Jerusalem Marathon,Israel,841
29,NA,147.0167,2011,Jerusalem Marathon,Israel,841
33,NA,147.2667,2011,Jerusalem Marathon,Israel,841
37,NA,147.75,2011,Jerusalem Marathon,Israel,841
36,NA,149.2667,2011,Jerusalem Marathon,Israel,841
36,NA,152.1833,2011,Jerusalem Marathon,Israel,841
26,NA,152.45,2011,Jerusalem Marathon,Israel,841
27,NA,152.5,2011,Jerusalem Marathon,Israel,841
33,NA,152.6667,2011,Jerusalem Marathon,Israel,841
26,NA,154.0667,2011,Jerusalem Marathon,Israel,841
56,NA,154.5167,2011,Jerusalem Marathon,Israel,841
30,NA,155.5333,2011,Jerusalem Marathon,Israel,841
28,NA,157.65,2011,Jerusalem Marathon,Israel,841
59,NA,158.2333,2011,Jerusalem Marathon,Israel,841
55,NA,162,2011,Jerusalem Marathon,Israel,841
42,NA,164.8333,2011,Jerusalem Marathon,Israel,841
28,NA,167.05,2011,Jerusalem Marathon,Israel,841
65,NA,167.5833,2011,Jerusalem Marathon,Israel,841
26,NA,170.05,2011,Jerusalem Marathon,Israel,841
35,NA,170.05,2011,Jerusalem Marathon,Israel,841
47,NA,171.1,2011,Jerusalem Marathon,Israel,841
43,NA,171.3,2011,Jerusalem Marathon,Israel,841
38,NA,171.8667,2011,Jerusalem Marathon,Israel,841
19,NA,172.15,2011,Jerusalem Marathon,Israel,841
25,NA,172.95,2011,Jerusalem Marathon,Israel,841
49,NA,177.5667,2011,Jerusalem Marathon,Israel,841
50,NA,177.7667,2011,Jerusalem Marathon,Israel,841
41,NA,178.45,2011,Jerusalem Marathon,Israel,841
61,NA,180.55,2011,Jerusalem Marathon,Israel,841
63,NA,181.55,2011,Jerusalem Marathon,Israel,841
32,NA,183.55,2011,Jerusalem Marathon,Israel,841
33,NA,183.7,2011,Jerusalem Marathon,Israel,841
59,NA,183.75,2011,Jerusalem Marathon,Israel,841
54,NA,183.9333,2011,Jerusalem Marathon,Israel,841
52,NA,185.0833,2011,Jerusalem Marathon,Israel,841
